"운영팀> 2번 모니터> 유니티 프로그램 내용 Num","Key","Korean","English","Japanese","Chinese","Nhóm vận hành > Màn hình 2 > Nội dung chương trình Unity Vietnamese","Indonesian","Thai","Russian","비고","기타"
"85","Greeting_Hobby_Second_Content","카메라 앞에서는 누구보다 프로페셔널하게! 'with' 스마트 키오스크랑 세련된 매력을 뽐내며 전 세계에 영감을 주는 글로벌 라이프스타일 디렉터를 꿈꾸고 있어.","Always professional in front of the camera! Showcasing chic vibes with 'with' SmartKiosks, dreaming of becoming a global lifestyle director who inspires the world.","カメラの前では誰よりもプロフェッショナルに！「with」スマートキオスクと一緒に洗練された魅力を放ち、世界にインスピレーションを与えるグローバルライフスタイルディレクターを夢見てるんだ。","镜头前比谁都专业！与 'with' 智能售货机一起展现干练魅力，梦想成为能给全世界带来灵感的全球生活方式总监。","Chuyên nghiệp hơn bất kỳ ai khác trước ống kính! Tôi mơ ước trở thành một giám đốc phong cách sống toàn cầu, truyền cảm hứng cho thế giới, thể hiện sự quyến rũ tinh tế thông qua các ki-ốt thông minh.","Lebih profesional dari siapa pun di depan kamera! Saya bermimpi menjadi direktur gaya hidup global yang menginspirasi dunia, menampilkan pesona yang canggih dengan kios pintar 'with'.","มืออาชีพกว่าใครๆ เมื่ออยู่หน้ากล้อง! ฉันฝันอยากเป็นผู้อำนวยการด้านไลฟ์สไตล์ระดับโลก ที่สร้างแรงบันดาลใจให้โลก ด้วยการนำเสนอเสน่ห์อันหรูหราผ่านตู้คีออสก์อัจฉริยะ","Я профессиональнее всех остальных перед камерой! Мечтаю стать глобальным директором по стилю жизни, который вдохновляет мир, демонстрируя утонченный шарм с помощью современных киосков.","",""
"86","Greeting_Hobby_Third","> 운동을 좋아하는 휴","Active HUE","運動大好きなヒュー","热爱运动的 HUE","Hugh, người thích tập thể dục","Hugh, yang suka berolahraga","ฮิวจ์ ผู้ชื่นชอบการออกกำลังกาย","Хью, который любит заниматься спортом.","",""
"87","Greeting_Hobby_Third_Content","테니스랑 골프는 내 갓생 루틴의 핵심이야. 스트레스 쌓일 땐 연습실에서 K-POP 댄스로 땀 쫙 빼고 나면 지치지 않는 에너지가 다시 풀충전되는 기분이라 너무 즐거워!
최근에는 런닝을 시작했어요 우리 함게 달려보아요","Tennis and golf are core to my ""God-saeng"" routine. Dancing to K-POP in the studio helps me destress and fully recharges my energy—it's so much fun!
I've started running lately—let's run together!","テニスとゴルフは私の「ガッセン」ルーティンの要。ストレスが溜まった時は練習室でK-POPダンスを踊って汗を流せば、エネルギーがフルチャージされる気分で本当に楽しいよ！
さいきんは らんにんぐを はじめました！ いっしょに はしりましょう。","网球和高尔夫是我“极简自律”生活的核心。压力大时在练习室跳 K-POP 舞蹈挥洒汗水，感觉能量瞬间充满，真的超级开心！
最近我开始跑步啦！我们一起奔跑吧。","Quần vợt và golf là cốt lõi trong cuộc sống thường nhật tuyệt vời của tôi. Khi căng thẳng, tôi rất thích đổ mồ hôi bằng cách nhảy K-POP ở phòng tập; cảm giác như năng lượng dồi dào của tôi được nạp đầy trở lại!

Gần đây tôi bắt đầu chạy bộ. Cùng chạy với nhau nhé!","Tenis dan golf adalah inti dari rutinitas hidup saya yang luar biasa. Saat stres, saya sangat menikmati berolahraga dengan menari K-POP di ruang latihan; rasanya energi saya yang tak pernah habis terisi penuh!

Baru-baru ini saya mulai berlari. Mari kita lari bersama!","เทนนิสและกอล์ฟเป็นหัวใจหลักของกิจวัตรประจำวันอันแสนวิเศษของฉัน เวลาเครียด ฉันชอบไปออกกำลังกายด้วยการเต้น K-POP ในห้องซ้อม รู้สึกเหมือนพลังงานที่ไม่มีวันหมดของฉันได้รับการเติมเต็มอย่างเต็มที่!

เมื่อเร็วๆ นี้ฉันเริ่มวิ่งแล้ว มาวิ่งด้วยกันเถอะ!","Теннис и гольф — основа моей потрясающей жизни. Когда я испытываю стресс, мне очень нравится хорошенько попотеть, танцуя K-POP в тренировочном зале; это как будто моя неиссякаемая энергия полностью восстанавливается!

Недавно я начала бегать. Давайте побегаем вместе!","",""
"89","Greeting_Stretching_First","뻐근한 목과 어깨를 위한 스트레칭 타임","Stretching time for stiff neck and shoulders","せなかの つかれに さようなら！ えねるぎい あっぷ すとれっちの じかん","告别腰背疲劳！活力满满的拉伸时间","Bài tập giãn cơ giúp giảm cứng cổ và vai.","Waktu peregangan untuk leher dan bahu yang kaku","ช่วงเวลาแห่งการยืดกล้ามเนื้อสำหรับอาการคอและไหล่แข็ง","Растяжка при затекшей шее и плечах.","",""
"90","Greeting_Stretching_First_Content","오랜 시간 핸들 잡느라 굳어버린 목이랑 어깨, 지금 휴(HUE)랑 같이 가볍게 돌려보면서 리프레시해봐요.
화면 속 저를 따라 천천히 움직이다 보면 어느새 머리까지 맑아지는 기분을 느낄 수 있을 거예요.","Let’s take a moment to relax your stiff neck and tired shoulders with HUE. Just follow my simple moves on the screen to refresh both your body and mind before you hit the road again. A quick stretch will make your journey much more vibrant and enjoyable!","ひゅと いっしょの すとれっちは こしの いたみを とるのに さいこうです。もっと かるくて たのしい たびの ために、いっしょに えねるぎいを じゅうでん しましょう。","和Hue一起拉伸是缓解腰背疲劳的最佳方式。让我们一起补充能量，享受更加轻松愉快的旅途吧！","Hãy thư giãn cổ và vai, vốn đang bị cứng do cầm vô lăng quá lâu, bằng cách nhẹ nhàng xoay chúng theo hướng dẫn của HUE ngay bây giờ.

Khi bạn từ từ di chuyển cùng tôi trên màn hình, bạn sẽ cảm thấy đầu óc mình thư thái hơn rất nhanh.","Segarkan leher dan bahu Anda yang kaku karena memegang kemudi terlalu lama, dengan memutarnya perlahan menggunakan HUE sekarang juga.

Saat Anda perlahan bergerak bersama saya di layar, Anda akan merasakan pikiran Anda menjadi jernih sebelum Anda menyadarinya.","ผ่อนคลายคอและไหล่ที่ตึงจากการถือพวงมาลัยมานาน ด้วยการหมุนเบาๆ ไปพร้อมกับ HUE ในตอนนี้

ขณะที่คุณค่อยๆ ขยับไปพร้อมกับฉันบนหน้าจอ คุณจะพบว่าจิตใจของคุณปลอดโปร่งขึ้นโดยไม่รู้ตัว","Освежите шею и плечи, затекшие от долгого сидения за рулем, мягко вращая их с помощью HUE.

По мере того, как вы будете медленно двигаться вместе со мной по экрану, вы очень скоро почувствуете, как проясняется ваш разум.","",""
"91","Greeting_Stretching_Second","허리 피로 싹! 에너지 업 스트레칭 타임","Focus on Legs & Back~","エネルギーアップストレッチタイム","全身活力ストレッチタイム","Tạm biệt chứng đau lưng! Thời gian giãn cơ giúp tăng cường năng lượng.","Ucapkan Selamat Tinggal pada Kelelahan Punggung! Waktu Peregangan untuk Meningkatkan Energi","บอกลาอาการปวดหลัง! ช่วงเวลาแห่งการยืดเหยียดเพื่อเพิ่มพลังงาน","Попрощайтесь с усталостью спины! Время для растяжки, заряжающее энергией.","",""
"92","Greeting_Stretching_Second_Content","계속 걷다 보면 다리와 허리에 피로가 쌓여요. 
중간에 가볍게 스트레칭하면 몸이 훨씬 편해져요!
‘휴’와 함께 간단한 운동을 함께 해봐요 
","A quick stretch in between will make your body feel so much better! Let's try some simple exercises together with ‘Hue’. ","ヒュー(HUE)と一緒に腰のストレッチをして、エネルギーアップ！体が軽くなれば、これからの旅をもっと楽しめるようになります。","ヒュー(HUE)の全身ストレッチで眠気を吹き飛ばしましょう！サービスエリアで私と一緒に体を動かして、安全運転を約束してくださいね。","Khi bạn tiếp tục đi bộ, sự mệt mỏi sẽ tích tụ ở chân và lưng dưới.

Thực hiện một vài động tác giãn cơ nhẹ nhàng giữa chừng sẽ giúp cơ thể bạn cảm thấy thoải mái hơn nhiều!

Hãy cùng thử một vài bài tập đơn giản với ‘Hue’ nhé.","Saat Anda terus berjalan, kelelahan akan menumpuk di kaki dan punggung bawah Anda.

Melakukan peregangan ringan di sela-sela aktivitas akan membuat tubuh Anda merasa jauh lebih nyaman!

Mari kita coba beberapa latihan sederhana bersama dengan ‘Hue’.","เมื่อคุณเดินไปเรื่อยๆ ความเมื่อยล้าจะสะสมที่ขาและหลังส่วนล่างของคุณ

การยืดเหยียดเบาๆ ระหว่างเดินจะช่วยให้ร่างกายรู้สึกสบายขึ้นมาก!

มาลองทำท่าออกกำลังกายง่ายๆ ไปพร้อมกับ 'ฮิว' กันเถอะ","По мере ходьбы в ногах и пояснице накапливается усталость.

Небольшая растяжка между подходами значительно улучшит самочувствие!

Давайте вместе попробуем несколько простых упражнений с помощью «Hue».","",""
"93","Greeting_Stretching_Third","졸음 퇴치! 전신 활력 스트레칭 타임","Time for a full-body vitality stretch.","腰部疲劳全消！活力加满拉伸时间","击退困意！全身活力拉伸时间","Chống lại cơn buồn ngủ! Thời gian giãn cơ toàn thân giúp tăng cường sinh lực.","Lawan rasa kantuk! Waktu peregangan vitalitas seluruh tubuh","ต่อสู้กับความง่วง! ช่วงเวลาแห่งการยืดเหยียดเพื่อเพิ่มพลังชีวิตทั่วร่างกาย","Боритесь с сонливостью! Время для растяжки всего тела, заряжающее энергией.","",""
"94","Greeting_Stretching_Third_Content","스트레칭은 몸뿐 아니라 마음까지 리프레시! 
활력 충전하고 더 신나게 여행할 수 있어요.
잠시 쉬었다가는 휴식 타임 어떠신가요~","Stretching refreshes not only your body but your mind too! Recharge your energy and enjoy an even more exciting journey. ","和 HUE 一起做腰部拉伸，活力加满！拉伸后身体会变得轻松，让接下来的旅程更加愉快。","跟着 HUE 做全身拉伸，赶走困意！在休息站和我一起活动活动，一定要约定好安全驾驶哦。","Tập giãn cơ không chỉ giúp cơ thể mà còn cả tinh thần bạn được thư giãn!

Nạp lại năng lượng và bắt đầu chuyến đi với nhiều hứng khởi hơn.

Sao không thử nghỉ ngơi một chút nhỉ?","Peregangan tidak hanya menyegarkan tubuh tetapi juga pikiran Anda!

Isi ulang energi Anda dan berpetualanglah dengan lebih banyak kegembiraan.

Bagaimana kalau beristirahat sejenak?","การยืดเหยียดร่างกายไม่เพียงแต่ช่วยให้ร่างกายสดชื่น แต่ยังช่วยให้จิตใจสดชื่นด้วย!

เติมพลังและเดินทางอย่างสนุกสนานยิ่งขึ้น

ลองพักสักครู่ไหม?","Растяжка освежает не только тело, но и разум!

Восстановите силы и путешествуйте с ещё большим удовольствием.

Как насчёт небольшого перерыва?","",""
"","Greeting_Tag1","#HUE","#HUE","#HUE","#HUE","#HUE","#HUE","#HUE","#HUE","",""
"","Greeting_Tag2","#휴","#HUE","#ひゅ","#HUE","#Hyu","#Hyu","#ฮยู","#Хью","",""
"","Greeting_Tag3","#안녕 휴","#Hello HUE","#こんにちは ひゅ","#你好 HUE","#Xin chào Hyu","#Halo Hyu","#สวัสดี ฮยู","#Привет Хью","",""
"117","MarketPaper_Onnuri","온누리 상품권","Onnuri Gift Certificate","おんぬり しょうひんけん","稳楼里商品券","Phiếu quà tặng Onnuri","Sertifikat Hadiah Onnuri","บัตรของขวัญ Onnuri","Подарочные сертификаты Onnuri","",""
"117","MarketPaper_Onnuri_Content","「온누리상품권」","「Onnuri Gift Certificate」","「おんぬり しょうひんけん」","「稳楼里商品券」","Phiếu quà tặng Onnuri","Sertifikat Hadiah Onnuri","บัตรของขวัญ Onnuri","Подарочный сертификат Onnuri","",""
"117","MarketPaper_Onnuri_Content_1","온누리 상품권이란?","What is Onnuri Gift Certificate?","おんぬり しょうひんけんとは？","什么是稳楼里商品券？","Phiếu quà tặng Onnuri là gì?","Apa itu Sertifikat Hadiah Onnuri?","บัตรของขวัญ Onnuri คืออะไร?","Что такое подарочный сертификат Onnuri?","",""
"117","MarketPaper_Onnuri_Content_1_1","전국 16개 금융기관에서 5천원, 1만원, 3만원권 단위로 구매하여 사용하는 온누리상품권","Onnuri Gift Certificates available in 5,000, 10,000, and 30,000 won denominations at 16 banks nationwide.","ぜんこく じゅうろくの きんゆう きかんで ごせんうぉん、いちまんうぉん、さんまんうぉん たんいで かって つかう おんぬり しょうひんけん","可在全国16家金融机构购买，面额分为5千、1万、3万韩元的稳楼里商品券。","Phiếu quà tặng Onnuri, được mua và sử dụng với các mệnh giá 5.000, 10.000 và 30.000 won tại 16 tổ chức tài chính trên toàn quốc.","Sertifikat Hadiah Onnuri, dapat dibeli dan digunakan dalam nominal 5.000, 10.000, dan 30.000 won di 16 lembaga keuangan di seluruh negeri.","บัตรของขวัญ Onnuri สามารถซื้อและใช้ได้ในราคา 5,000, 10,000 และ 30,000 วอน ที่สถาบันการเงิน 16 แห่งทั่วประเทศ","Подарочные сертификаты Onnuri номиналом 5000, 10000 и 30000 вон, приобретенные и использованные в 16 финансовых учреждениях по всей стране.","",""
"117","MarketPaper_Onnuri_Content_2","지류상품권 권종","Paper voucher denominations","かみの しょうひんけんの しゅるい","纸质商品券面额","Các mệnh giá phiếu quà tặng bằng giấy","Nominal sertifikat hadiah kertas","มูลค่าของบัตรของขวัญกระดาษ","номиналы бумажных подарочных сертификатов","",""
"117","MarketPaper_Onnuri_Content_3","디지털 온누리상품권이란?","What is Digital Onnuri Gift Certificate?","でじたある おんぬり しょうひんけんとは？","什么是数字稳楼里商品券？","Phiếu quà tặng điện tử Onnuri là gì?","Apa itu Sertifikat Hadiah Digital Onnuri?","บัตรของขวัญดิจิทัล Onnuri คืออะไร?","Что такое цифровой подарочный сертификат Onnuri?","",""
"117","MarketPaper_Onnuri_Content_3_1","디지털 온누리상품권 앱 설치 후 기존 갖고 있는 카드를 등록하고 금액 충전 후, 실물카드 또는 QR코드 결제 방식으로 이용 가능한 온누리상품권","An Onnuri Gift Certificate that can be used via physical card or QR code after installing the Digital Onnuri App, registering your existing card, and charging the balance.","でじたある おんぬり しょうひんけん あぷりを いれ、もっている かあどを とうろくして おかねを いれたあと、かあどや きゅうあある こおどで つかえる おんぬり しょうひんけん","安装数字稳楼里商品券App并绑定现有银行卡充值后，可通过实体卡或二维码支付使用的稳楼里商品券。","Sau khi cài đặt ứng dụng Phiếu quà tặng điện tử Onnuri, đăng ký thẻ hiện có và nạp tiền vào tài khoản, bạn có thể sử dụng Phiếu quà tặng Onnuri thông qua thẻ vật lý hoặc thanh toán bằng mã QR.","Setelah menginstal aplikasi Sertifikat Hadiah Digital Onnuri, daftarkan kartu Anda yang sudah ada, dan isi ulang saldo, Anda dapat menggunakan Sertifikat Hadiah Onnuri melalui kartu fisik atau pembayaran kode QR.","หลังจากติดตั้งแอปพลิเคชันบัตรของขวัญดิจิทัล Onnuri แล้ว ให้ลงทะเบียนบัตรที่มีอยู่ของคุณและเติมเงิน คุณสามารถใช้บัตรของขวัญ Onnuri ผ่านบัตรจริงหรือการชำระเงินด้วยรหัส QR ได้","После установки приложения Digital Onnuri Gift Certificate, регистрации существующей карты и пополнения баланса вы сможете использовать подарочный сертификат Onnuri с помощью физической карты или QR-кода.","",""
"117","MarketPaper_Onnuri_Content_3_2","상품권 금액의 10% 할인가로 충전 가능! 최대 보유한도금액은 200만원입니다.","Recharge at a 10% discount! The maximum holding limit is 2 million won.","しょうひんけんの じゅっぱあせんと わりびきで ちゃあじ できる！ さいだい ほゆう げんどがくは にひゃくまんうぉんです。","可享受10%折扣充值！最大持有金额为200万韩元。","Bạn có thể nạp tiền vào tài khoản với mức chiết khấu 10% trên giá trị phiếu quà tặng! Số dư tối đa là 2 triệu won.","Anda bisa melakukan top up dengan diskon 10% dari nilai voucher hadiah! Batas saldo maksimal adalah 2 juta won.","คุณสามารถเติมเงินได้ในราคาลด 10% จากมูลค่าบัตรของขวัญ! วงเงินสูงสุดคือ 2 ล้านวอน","Вы можете пополнить счет со скидкой 10% от суммы подарочного сертификата! Максимальный лимит баланса — 2 миллиона вон.","",""
"117","MarketPaper_Onnuri_Content_3_3","※ 단, 예산소진 상황에 따라 특별판매 내용 및 기간이 변경될 수 있습니다.","※ Note: Special sale details and periods are subject to change depending on budget exhaustion.","※ ただし、よさんが なくなり しだい、とくべつ はんばいの ないようや きかんが かわる ことが あります。","※ 注：特别销售内容及期限可能会根据预算消耗情况有所变更。","※ Tuy nhiên, chi tiết và thời gian của chương trình khuyến mãi đặc biệt có thể thay đổi tùy thuộc vào tình trạng hết ngân sách.","※ Namun, detail dan durasi penjualan khusus dapat berubah tergantung pada status habisnya anggaran.","※ อย่างไรก็ตาม รายละเอียดและระยะเวลาของการขายพิเศษอาจมีการเปลี่ยนแปลงได้ ขึ้นอยู่กับสถานะการใช้งบประมาณ","※ Однако детали и продолжительность специальной распродажи могут быть изменены в зависимости от состояния бюджета.","",""
"117","MarketPaper_Onnuri_Content_4","온누리상품권 사용처","Where to use Onnuri Gift Certificates","おんぬり しょうひんけんが つかえる ところ","稳楼里商品券使用处","Những địa điểm có thể sử dụng Phiếu quà tặng Onnuri.","Tempat-tempat di mana Sertifikat Hadiah Onnuri dapat digunakan","สถานที่ที่สามารถใช้บัตรของขวัญ Onnuri ได้","Места, где можно использовать подарочные сертификаты Onnuri","",""
"117","MarketPaper_Onnuri_Content_4_1","온누리상품권 가맹점 스티커가 있는 곳에서 사용이 가능합니다.","Can be used at places with the Onnuri Gift Certificate affiliated store sticker.","おんぬり しょうひんけん かめいてん すてっかあが ある ところで つかえます。","可在贴有稳楼里商品券加盟店贴纸的地方使用。","Phiếu quà tặng này có thể được sử dụng tại những nơi có dán tem của nhà cung cấp phiếu quà tặng Onnuri.","Dapat digunakan di tempat-tempat yang menampilkan stiker pedagang Sertifikat Hadiah Onnuri.","สามารถใช้ได้ ณ สถานที่ที่มีสติกเกอร์รับรองของขวัญ Onnuri แสดงอยู่","Его можно использовать в местах, где размещена наклейка с подарочным сертификатом Onnuri.","",""
"118","MarketPaper_Osaekjeon","행복화성지역화폐","Hwaseong Currency","華城市の幸福華城地域通貨","华城市的幸福华城地域货币","Chúc mừng ngày Hwaseong! Tiền tệ địa phương","Mata Uang Lokal Happy Hwaseong","สุขสันต์สกุลเงินท้องถิ่นฮวาซอง","Счастливого Хвасона! Местная валюта","",""
"118","MarketPaper_Osaekjeon_Content","화성시의 행복화성지역화폐","Haengbok Hwaseong Local Currency of Hwaseong City","華城市の幸福華城地域通貨","华城市的幸福华城地域货币","Tiền tệ địa phương hạnh phúc của thành phố Hwaseong","Mata Uang Lokal Happy Hwaseong Kota Hwaseong","สกุลเงินท้องถิ่นแฮปปี้ฮวาซองของเมืองฮวาซอง","Местная валюта города Хвасон — Happy Hwaseong.","",""
"118","MarketPaper_Osaekjeon_Content_1","행복화성지역화폐'란?","What is Haengbok Hwaseong Currency?","幸福華城地域通貨とは？","什么是幸福华城地域货币？","'Đồng tiền địa phương Happy Hwaseong' là gì?","Apa itu 'Mata Uang Lokal Happy Hwaseong'?","'สกุลเงินท้องถิ่นแฮปปี้ฮวาซอง' คืออะไร?","Что такое «местная валюта Happy Hwaseong»?","",""
"118","MarketPaper_Osaekjeon_Content_1_1","화성시 내에서만 사용할 수 있는 카드형 지역화폐입니다.
전통시장 및 매출액 10억 이하의 소상공인 점포에서 사용 가능합니다. 경기지역화폐 APP을 통해 간편하게 충전하고 잔액을 관리할 수 있습니다.","It is a card-type local currency that can only be used within Hwaseong City. It is accepted at traditional markets and small businesses with annual sales under 1 billion KRW. Use the Gyeonggi Local Currency APP to charge and manage your balance easily anywhere.
","華城市内でのみ使用できるカード型の地域通貨です。
伝統市場および年商10億ウォン以下の小規模店舗で使用できます。京畿地域通貨APPを通じて、いつでもどこでも簡単にチャージや残高管理が可能です。","是在华城市内使用的卡型地域货币。
可在传统市场及年销售额10亿韩元以下的小微企业店铺使用。通过“京畿地域货币”APP即可随时随地方便地充值和管理余额。
","Đây là loại tiền tệ địa phương dạng thẻ, chỉ có thể sử dụng trong phạm vi thành phố Hwaseong.

Thẻ có thể được sử dụng tại các chợ truyền thống và các cửa hàng kinh doanh nhỏ có doanh thu hàng năm từ 1 tỷ won trở xuống. Bạn có thể dễ dàng nạp tiền và quản lý số dư thông qua ứng dụng Tiền tệ địa phương Gyeonggi.","Ini adalah mata uang lokal berbentuk kartu yang hanya dapat digunakan di Kota Hwaseong.

Mata uang ini dapat digunakan di pasar tradisional dan toko-toko usaha kecil dengan penjualan tahunan sebesar 1 miliar KRW atau kurang. Anda dapat dengan mudah mengisi ulang dan mengelola saldo Anda melalui aplikasi Mata Uang Lokal Gyeonggi.","นี่คือสกุลเงินท้องถิ่นแบบบัตรที่สามารถใช้ได้เฉพาะภายในเมืองฮวาซองเท่านั้น

สามารถใช้ได้ที่ตลาดสดและร้านค้าขนาดเล็กที่มียอดขายต่อปีไม่เกิน 1 พันล้านวอน คุณสามารถเติมเงินและจัดการยอดคงเหลือได้อย่างง่ายดายผ่านแอปพลิเคชันสกุลเงินท้องถิ่นคยองกี","Это местная валюта в виде карты, которую можно использовать только в городе Хвасон.

Её можно использовать на традиционных рынках и в небольших магазинах с годовым оборотом в 1 миллиард вон или меньше. Пополнять баланс и управлять им можно легко через приложение Gyeonggi Local Currency.","",""
"118","MarketPaper_Osaekjeon_Content_2","누구나 신청 가능 하나요?","Who can apply?","誰でも申請できますか？","谁可以申请？","Ai cũng có thể đăng ký?","Apakah siapa saja bisa mendaftar?","ใครๆ ก็สมัครได้ใช่ไหม?","Подать заявку может любой желающий?","",""
"118","MarketPaper_Osaekjeon_Content_2_1","본인 명의의 은행계좌를 가진 만 14세 이상이면 누구나 신청 가능합니다.
거주지와 상관없이 화성시 내 소비를 통해 인센티브 혜택을 받고 싶은 분들은 모바일 APP 또는 관내 농협에서 신청해 주세요.","Anyone aged 14 or older with a bank account in their name can apply.
Regardless of where you live, if you want to receive incentives by spending in Hwaseong, you can apply. Please apply via the Mobile APP (Gyeonggi Local Currency) or local NH Bank branches.
","<b>本人名義の銀行口座を持つ満14歳以上なら申請可能です。</b>
オサン資金の流出を防ぎ、地域経済を活性化させます。
<b>居住地に関係なく、オサンで消費し追加ポイントを受けたい方なら誰でも申請できます。</b>","只要是年满14周岁且拥有本人名下银行账户的人均可申请。
无论居住地在哪里，只要想在华城市消费并享受奖励优惠，均可申请。请通过手机APP（京畿地域货币）或市内农协银行申请。
","Bất kỳ ai từ 14 tuổi trở lên có tài khoản ngân hàng đứng tên mình đều đủ điều kiện đăng ký.

Nếu bạn muốn nhận ưu đãi khi chi tiêu trong khu vực Hwaseong City, bất kể nơi cư trú, vui lòng đăng ký qua ứng dụng di động hoặc tại chi nhánh NongHyup gần nhất.","Siapa pun yang berusia 14 tahun ke atas dan memiliki rekening bank atas nama sendiri berhak untuk mendaftar.

Jika Anda ingin menerima manfaat insentif melalui pembelanjaan di Kota Hwaseong, terlepas dari tempat tinggal Anda, silakan mendaftar melalui aplikasi seluler atau di cabang NongHyup setempat.","บุคคลที่มีอายุ 14 ปีขึ้นไปและมีบัญชีธนาคารในชื่อของตนเองสามารถสมัครได้

หากท่านต้องการรับสิทธิประโยชน์จากการใช้จ่ายภายในเมืองฮวาซอง ไม่ว่าจะอาศัยอยู่ที่ใด โปรดสมัครผ่านแอปพลิเคชันบนมือถือหรือที่สาขา NongHyup ใกล้บ้านท่าน","Подать заявку может любой человек в возрасте 14 лет и старше, имеющий банковский счет на свое имя.

Если вы хотите получать бонусы за покупки в городе Хвасон, независимо от места жительства, пожалуйста, подайте заявку через мобильное приложение или в местном отделении NongHyup.","",""
"118","MarketPaper_Osaekjeon_Content_2_2","신청방법은 <b>모바일앱(경기지역화폐APP)</b>또는 <b>관내 NH농협은행, 오산농협, 새마을금고, 새오산신협</b>에서 신청해주세요.","How to apply?
Apply via <b>mobile app (Gyeonggi Local Currency App)</b> or at <b>NH Nonghyup Bank (Osan), Osan Nonghyup, Saemaeul Geumgo, Sae-Osan Credit Union.</b>
","誰でも申請できますか？
本人名義の銀行口座を持つ14歳以上の方なら誰でも申請可能です。
居住地に関わらず、華城市での消費を通じて特典を受けたい方は申請いただけます。モバイルAPP(京畿地域通貨)または市内の農協でお申し込みください。","谁可以申请？
只要是年满14周岁且拥有本人名下银行账户的人均可申请。
无论居住地在哪里，只要想在华城市消费并享受奖励优惠，均可申请。请通过手机APP（京畿地域货币）或市内农协银行申请。","Vui lòng đăng ký qua ứng dụng di động (Ứng dụng Tiền tệ Khu vực Gyeonggi) hoặc tại các chi nhánh địa phương của Ngân hàng NH Nonghyup, Osan Nonghyup, Saemaul Geumgo hoặc Sae Osan Shinhyup.","Silakan mendaftar melalui aplikasi seluler (Aplikasi Mata Uang Regional Gyeonggi) atau di Bank NH Nonghyup, Osan Nonghyup, Saemaul Geumgo, atau Sae Osan Shinhyup setempat.","กรุณาสมัครผ่านแอปพลิเคชันบนมือถือ (แอปสกุลเงินประจำภูมิภาคคยองกี) หรือที่ธนาคาร NH Nonghyup Bank, Osan Nonghyup, Saemaul Geumgo หรือ Sae Osan Shinhyup สาขาใกล้บ้านคุณ","Пожалуйста, подайте заявку через мобильное приложение (Gyeonggi Regional Currency APP) или в местных отделениях NH Nonghyup Bank, Osan Nonghyup, Saemaul Geumgo или Sae Osan Shinhyup.","",""
"118","MarketPaper_Osaekjeon_Content_3","지역화폐사용처","Where can I use it?","加盟店のご案内","使用范围指南","Những nơi chấp nhận tiền tệ địa phương","Tempat-tempat di mana mata uang lokal diterima","สถานที่ที่รับเงินสกุลท้องถิ่น","Места, где принимается местная валюта","",""
"118","MarketPaper_Osaekjeon_Content_3_1","사용처 안내
연 매출 10억 이하 소상공인 점포에서 사용 가능합니다.
가능: 편의점, 학원, 병원, 음식점, 전통시장 등
제한: 백화점, 대형마트, 유흥업소, 연 매출 10억 초과 업소","Where to use
Available only at small business stores with annual sales of 1 billion KRW or less.
It is a local currency for Hwaseong that can be used at gas stations, markets, leisure facilities (gyms), clinics, convenience stores, academies, salons, and veterinary hospitals.","年商10億ウォン以下の小規模店舗でのみ使用可能です。
ガソリンスタンド、伝統市場、レジャー施設（ジム）、病院、コンビニ、塾、美容院、動物病院などで使用できる華城市の市場通貨です。","百货商场、大型超市、连锁超市（SSM）、直营连锁店及娱乐场所/博彩业均不可使用。
<b>仅限年销售额10亿韩元以下的小商户使用。</b>","Hướng dẫn sử dụng

Áp dụng cho các cơ sở kinh doanh nhỏ có doanh thu hàng năm từ 1 tỷ won trở xuống.

Đối tượng đủ điều kiện: Cửa hàng tiện lợi, học viện, bệnh viện, nhà hàng, chợ truyền thống, v.v.

Đối tượng bị hạn chế: Cửa hàng bách hóa, siêu thị, cơ sở giải trí, doanh nghiệp có doanh thu hàng năm vượt quá 1 tỷ won.","Panduan Penggunaan

Tersedia di usaha kecil dengan penjualan tahunan 1 miliar KRW atau kurang.

Yang memenuhi syarat: Toko serba ada, akademi, rumah sakit, restoran, pasar tradisional, dll.

Yang dibatasi: Toko serba ada, hypermarket, tempat hiburan, usaha dengan penjualan tahunan melebihi 1 miliar KRW","คู่มือการใช้งาน

ใช้ได้กับสถานประกอบการธุรกิจขนาดเล็กที่มีรายได้จากการขายต่อปีไม่เกิน 1 พันล้านวอน

ประเภทที่เข้าร่วม: ร้านสะดวกซื้อ, สถาบันการศึกษา, โรงพยาบาล, ร้านอาหาร, ตลาดสด ฯลฯ

ประเภทที่จำกัด: ห้างสรรพสินค้า, ไฮเปอร์มาร์เก็ต, สถานบันเทิง, ธุรกิจที่มีรายได้จากการขายต่อปีเกิน 1 พันล้านวอน","Инструкция по применению

Доступно для предприятий малого бизнеса с годовым объемом продаж 1 миллиард вон или менее.

Подходит для: круглосуточных магазинов, академий, больниц, ресторанов, традиционных рынков и т. д.

Ограничено для: универмагов, гипермаркетов, развлекательных заведений, предприятий с годовым объемом продаж более 1 миллиарда вон.","",""
