"운영팀> 2번 모니터> 앱 콘텐츠 내용 NO ","Key ","Korean ","English ","Japanese ","Chinese ","Vietnamese ","Indonesian ","Thai ","Russian ","Description ","","","","",""
"83","Greeting_Hobby_First_Content","아이돌처럼 춤추고 노래하는 것을 좋아하고, 좋아하는 노래가 나오면 몸이 저절로 움직입니다.
카페 & 맛집 탐방은 나의 열정!
숨겨진 디저트 카페와 핫한 맛집을 찾아 친구들과 공유합니다.","I love to dance and sing like an idol, and when my favorite song comes on, I can’t resist moving to the beat.
Café and restaurant hopping is my passion!
I enjoy discovering hidden dessert cafés and the trendiest restaurants in town, sharing my finds with friends and followers.","アイドルのように踊って歌うのが大好きで、好きな曲が流れると体が自然に動きます。
カフェ＆グルメ巡りは私の情熱！
隠れたデザートカフェや流行りのレストランを見つけ、友達やフォロワーとシェアします。","我喜欢像偶像一样唱跳，喜欢的歌一响起就忍不住跟着节奏动起来。
咖啡馆和美食探店是我的热情！
喜欢发现隐藏的甜品咖啡馆和热门餐厅，并与朋友和粉丝分享。","Tôi thích nhảy và hát như một thần tượng, và khi bài hát yêu thích vang lên, tôi không thể cưỡng lại việc nhún nhảy theo điệu nhạc.

Khám phá các quán cà phê và nhà hàng là niềm đam mê của tôi!

Tôi thích tìm kiếm những quán cà phê tráng miệng ẩn mình và những nhà hàng thời thượng nhất trong thành phố, chia sẻ những phát hiện của mình với bạn bè và người theo dõi.","Aku suka menari dan bernyanyi seperti seorang idola, dan ketika lagu favoritku diputar, aku tak bisa menahan diri untuk ikut bergerak mengikuti irama.
Berkeliling kafe dan restoran adalah hobiku!
Aku senang menemukan kafe makanan penutup tersembunyi dan restoran paling trendi di kota, lalu berbagi temuanku dengan teman dan pengikutku.","ฉันชอบเต้นและร้องเพลงเหมือนไอดอล และเมื่อเพลงโปรดของฉันดังขึ้น ฉันอดใจไม่ไหวที่จะขยับตัวไปตามจังหวะ
การตะลุยคาเฟ่และร้านอาหารคือสิ่งที่ฉันหลงใหล!
ฉันสนุกกับการค้นพบคาเฟ่ขนมหวานลับๆ และร้านอาหารสุดฮิตในเมือง และแบ่งปันสิ่งที่ฉันค้นพบกับเพื่อนๆ และผู้ติดตาม","Я обожаю танцевать и петь, как кумир, и когда играет моя любимая песня, я не могу удержаться от того, чтобы не начать двигаться в такт.
Посещение кафе и ресторанов — моя страсть!
Мне нравится открывать для себя скрытые кафе-кондитерские и самые модные рестораны города, делясь своими находками с друзьями и подписчиками.","","","","","",""
"84","Greeting_Hobby_Second","골프는 나의 힐링 타임!","Golf is my healing time!","ゴルフは私の癒しの時間！","高尔夫是我的疗愈时光！","Chơi golf là khoảng thời gian giúp tôi thư giãn!","Golf adalah waktu penyembuhan saya!","การเล่นกอล์ฟคือช่วงเวลาแห่งการเยียวยาของฉัน!","Гольф – это мое время для восстановления сил!","","","","","",""
"85","Greeting_Hobby_Second_Content","저 요즘 골프를 배우고 있어요!  필드에서 공을 치고 걷는 게 신나고, 자연 속에서 운동하는 느낌이 좋아요. 집중해서 스윙할 때는 마음이 차분해지고, 성취감을 느낄 수 있어요. 친구들이랑 함께 라운딩하면 더 즐겁고, 배운 기술을 바로 써먹을 수 있어 뿌듯해요!","I’ve started learning golf!  Playing on the course is exciting, and I love exercising in nature. Focusing on my swing feels calming, and it’s rewarding. Playing with friends is fun and satisfying!.","最近ゴルフを習い始めました！ コースでプレーするのは楽しく、自然の中で運動するのが気持ちいいです。 スイングに集中すると心が落ち着き、達成感があります。 友達と一緒にラウンドするとさらに楽しいです！","我最近开始学高尔夫！ 在球场上打球很刺激，喜欢在大自然中运动的感觉。 专注挥杆时心情很平静，也能获得成就感。 和朋友一起打更开心，学到的技巧也能马上用上！。","Tôi bắt đầu học chơi golf rồi! Chơi trên sân golf thật thú vị, và tôi thích tập thể dục giữa thiên nhiên. Tập trung vào cú đánh giúp tôi cảm thấy thư thái và hài lòng. Chơi cùng bạn bè cũng vui và thỏa mãn nữa!","Aku sudah mulai belajar golf! Bermain di lapangan sangat menyenangkan, dan aku suka berolahraga di alam. Berfokus pada ayunan terasa menenangkan, dan itu memuaskan. Bermain dengan teman-teman itu menyenangkan dan memuaskan!","ฉันเริ่มเรียนกอล์ฟแล้ว! การเล่นในสนามเป็นเรื่องน่าตื่นเต้น และฉันชอบออกกำลังกายท่ามกลางธรรมชาติ การจดจ่ออยู่กับการสวิงทำให้รู้สึกสงบ และรู้สึกคุ้มค่า การเล่นกับเพื่อนๆ ก็สนุกและน่าพึงพอใจ!","Я начала учиться играть в гольф! Игра на поле — это захватывающе, и мне нравится заниматься спортом на природе. Сосредоточение на ударе успокаивает и приносит удовлетворение. Играть с друзьями — это весело и приятно!","","","","","",""
"86","Greeting_Hobby_Third","테니스는 나의 스트레스 해소법!","Tennis is my way of relieving stress!","テニスは私のストレス解消法！","网球是我缓解压力的方式！","Chơi tennis là cách tôi giải tỏa căng thẳng!","Tenis adalah cara saya untuk menghilangkan stres!","เทนนิสคือวิธีคลายเครียดของฉัน!","Теннис — мой способ снять стресс!","","","","","",""
"87","Greeting_Hobby_Third_Content","저 요즘 테니스 배우고 있어요!  처음엔 라켓 잡기도 힘들고 공 맞추기도 어려웠는데, 조금씩 감이 생기더라고요. 운동하면서 스트레스 풀리고, 땀 흘리는 게 재밌어요. 친구들이랑 치면 신나고, 배운 걸 바로 써먹을 수 있어 뿌듯해요!","I’ve been learning tennis!  At first it was hard, but I’m getting the hang of it. It’s fun, relieves stress, and playing with friends is exciting!","最近テニスを習っています！ 最初は大変でしたが、少しずつ感覚がつかめました。 運動でストレス発散できて、友達とやると楽しいです。","我最近在学网球！
刚开始很难，但慢慢上手了。
运动减压，和朋友一起打更有趣！","Tôi đang học chơi tennis! Lúc đầu hơi khó, nhưng giờ tôi đã quen dần rồi. Môn này rất vui, giúp giảm căng thẳng, và chơi cùng bạn bè thì thật thú vị!","Aku sedang belajar tenis! Awalnya sulit, tapi aku mulai menguasainya. Ini menyenangkan, menghilangkan stres, dan bermain bersama teman-teman itu seru!","ฉันกำลังเรียนเทนนิสอยู่! ตอนแรกมันยาก แต่ตอนนี้ฉันเริ่มจับทางได้แล้ว มันสนุกดี ช่วยคลายเครียด และการได้เล่นกับเพื่อนๆ ก็ตื่นเต้นมาก!","Я начала учиться играть в теннис! Сначала было сложно, но я постепенно осваиваюсь. Это весело, снимает стресс, и играть с друзьями — это здорово!","","","","","",""
"88","Greeting_Category3","스트레칭 고고~","Let’s go stretch~
","ストレッチ~","拉伸走 ~","Cùng đi giãn cơ nào!
","Ayo kita peregangan~


","ไปยืดเส้นยืดสายกันเถอะ~


(ข้อความต้นฉบับไม่ชัดเจน จึงไม่ได้แปล)","Пойдём разомнёмся~

","","","","","",""
"89","Greeting_Stretching_First","정이랑 함께 가볍게 스트레칭 해요!","Let’s do some light stretching together with Jeong-i!","ジョンイと一緒に軽くストレッチしましょう！","和Jeong-i一起轻松拉伸吧！","Cùng Jeong-i thực hiện một vài động tác giãn cơ nhẹ nhé!","Mari kita lakukan peregangan ringan bersama Jeong-i!","มาลองยืดเหยียดกล้ามเนื้อเบาๆ ไปพร้อมกับจองอีกันเถอะ!","Давайте вместе с Чон-и немного поразомнемся!","","","","","",""
"90","Greeting_Stretching_First_Content","오랜 시간 걷기 전에, 잠깐! 저를 따라 가볍게 몸을 풀어볼까요? 
기분도 리프레시~ 에너지도 업!
화면 속 저를 따라 천천히 따라 해보세요. 
스트레칭 후엔 더 가볍고 즐겁게 오색시장 여행할 수 있어요~","Before a long walk, take a moment!
Let’s do some light stretching to refresh and energize.
Just follow me on the screen—
you’ll enjoy your Osaek Market trip even more after a good stretch!","長時間歩く前に、ちょっと待って！
軽く体をほぐしてリフレッシュしましょう。
画面の動きにゆっくり合わせてください。
ストレッチ後は、もっと楽しくオセク・マーケットを歩けますよ〜","长时间步行前，先暂停一下！
跟着我轻松地活动一下身体吧。
让心情焕然一新，能量满满！
慢慢跟着屏幕上的我做动作。
拉伸后，你可以更轻松愉快地游览奥塞克市场哦~","Trước khi bắt đầu một chuyến đi bộ dài, hãy dành chút thời gian thư giãn!

Hãy cùng thực hiện một vài động tác giãn cơ nhẹ nhàng để làm mới và nạp năng lượng.

Chỉ cần làm theo hướng dẫn trên màn hình —
bạn sẽ tận hưởng chuyến đi đến chợ Osaek hơn nữa sau khi được giãn cơ!","Sebelum berjalan jauh, luangkan waktu sejenak!

Mari kita lakukan peregangan ringan untuk menyegarkan dan memberi energi.
Ikuti saja petunjuk di layar— Anda akan lebih menikmati kunjungan ke Pasar Osaek setelah melakukan peregangan yang baik!","ก่อนเดินไกลๆ ลองหยุดพักสักครู่!
มาเริ่มยืดเหยียดเบาๆ เพื่อให้สดชื่นและมีพลังกันเถอะ
ทำตามที่ฉันบอกบนหน้าจอเลย—
คุณจะสนุกกับการเที่ยวตลาดโอแซกมากขึ้นหลังจากยืดเหยียดร่างกายแล้ว!","Перед долгой прогулкой сделайте паузу!
Давайте немного потянемся, чтобы освежиться и зарядиться энергией.
Просто следуйте за мной на экране —
после хорошей разминки вы получите еще больше удовольствия от поездки на рынок Осаек!","","","","","",""
"91","Greeting_Stretching_Second","피로 예방!
","Fatigue prevention!","疲労予防！","疲劳预防！","Ngăn ngừa mệt mỏi!","Pencegahan kelelahan!","ป้องกันความเหนื่อยล้า!","Профилактика усталости!","","","","","",""
"92","Greeting_Stretching_Second_Content","계속 걷다 보면 다리와 허리에 피로가 쌓여요. 
중간에 가볍게 스트레칭하면 몸이 훨씬 편해져요!
‘정이’와 함께 간단한 운동을 함께 해봐요 
","If you keep walking, your legs and lower back will get tired. Doing some light stretching in between makes your body feel much better! Let’s try some simple exercises together with ‘Jeong-i’
","歩き続けると、脚や腰に疲れがたまります。
途中で軽くストレッチをすると体がずっと楽になりますよ！
「インサ」と一緒に簡単な運動をしてみましょう。","一直走路会让腿和腰感到疲劳。
中途做些轻松的拉伸，身体会舒服很多！
和“Jeong-i”一起做些简单的运动吧。","Nếu bạn cứ tiếp tục đi bộ, chân và lưng dưới của bạn sẽ mỏi. Thực hiện một vài động tác giãn cơ nhẹ nhàng giữa chừng sẽ giúp cơ thể bạn cảm thấy dễ chịu hơn! Hãy cùng thử một vài bài tập đơn giản với 'Jeong-i' nhé!","Jika kamu terus berjalan, kaki dan punggung bawahmu akan lelah. Melakukan peregangan ringan di sela-sela aktivitas akan membuat tubuhmu merasa jauh lebih baik! Mari kita coba beberapa latihan sederhana bersama ‘Jeong-i’

","ถ้าคุณเดินต่อไปเรื่อยๆ ขาและหลังส่วนล่างของคุณจะเมื่อยล้า การยืดเหยียดเบาๆ ระหว่างเดินจะทำให้ร่างกายรู้สึกดีขึ้นมาก! มาลองออกกำลังกายง่ายๆ ไปพร้อมกับ 'จองอี' กันเถอะ

","Если вы будете продолжать ходить, ваши ноги и поясница устанут. Легкая растяжка между подходами значительно улучшит самочувствие! Давайте попробуем несколько простых упражнений вместе с «Чон-и».

","","","","","",""
"93","Greeting_Stretching_Third","기분 전환!","Refresh your mood !","気分転換！","换换心情！","Hãy làm mới tâm trạng của bạn!","Segarkan suasana hatimu!","ทำให้คุณรู้สึกสดชื่น!","Поднимите себе настроение!","","","","","",""
"94","Greeting_Stretching_Third_Content","스트레칭은 몸뿐 아니라 마음까지 리프레시! 
활력 충전하고 더 신나게 여행할 수 있어요.
잠시 쉬었다가는 휴식 타임 어떠신가요~","Stretching refreshes not only your body but also your mind! Recharge your energy and enjoy your trip even more. How about taking a short break for some rest~","ストレッチは体だけでなく心までリフレッシュ！
活力をチャージして、もっと楽しく旅ができます。
ちょっと休憩してリラックスタイムはいかがですか〜","拉伸不仅能让身体焕然一新，心情也会清爽！
充电活力，更加开心地旅行吧。
休息一下，来个小憩时间怎么样～
","Việc giãn cơ không chỉ giúp bạn thư giãn cơ thể mà còn cả tinh thần! Hãy nạp lại năng lượng và tận hưởng chuyến đi của bạn trọn vẹn hơn. Sao không dành chút thời gian nghỉ ngơi nhỉ~","Peregangan tidak hanya menyegarkan tubuh tetapi juga pikiran Anda! Isi ulang energi Anda dan nikmati perjalanan Anda lebih maksimal. Bagaimana kalau beristirahat sejenak?","การยืดเหยียดร่างกายไม่เพียงแต่ช่วยให้ร่างกายสดชื่น แต่ยังช่วยให้จิตใจสดชื่นด้วย! เติมพลังและสนุกกับการเดินทางมากยิ่งขึ้น ลองหยุดพักสักครู่เพื่อพักผ่อนดูไหมนะ~","Растяжка освежает не только тело, но и разум! Восстановите силы и получите еще больше удовольствия от поездки. Как насчет того, чтобы сделать небольшой перерыв и немного отдохнуть?","","","","","",""
"","Greeting_Tag1","#JEONGE","#JEONGE","#JEONGE","#JEONGE","#JEONGE","#JEONGE","#JEONGE","#JEONGE","","","","","",""
"","Greeting_Tag2","#정이","#JEONG-I","#JEONG-I","#JEONG-I","#JEONG-I","#JEONG-I","#จองอี","#ЧОН-И","","","","","",""
"","Greeting_Tag3","#안녕 정이","#Hello Jeong-i","#Jeong-i","#你好 'Jeong-i'","#Chào Jeong-i","#Halo Jeong-i","#สวัสดีจองอี","#Привет, Чон-и!","","","","","",""
"95","Transport_Public","대중교통","Public Transportation","公共交通機関","公共交通機関","Phương tiện giao thông công cộng","Transportasi Umum","ระบบขนส่งสาธารณะ","Общественный транспорт","","","","","",""
"96","Transport_Map","오색시장지도","Osaek Market Map","仁寺洞マップ","仁寺洞マップ","Bản đồ chợ Osaek","Peta Pasar Osaek","แผนที่ตลาดโอซาเอก","Карта рынка Осаек","","","","","",""
"97","Transport_Parking","주차장 안내","Parking Information","駐車場案内","駐車場案内","Thông tin đỗ xe","Informasi Parkir","ข้อมูลเกี่ยวกับที่จอดรถ","Информация о парковке","","","","","",""
"97","Transport_Load1","빨강길","Red Load","Red Load","Red Load","Tải đỏ","Beban Merah","โหลดสีแดง","Красная загрузка","","","","","",""
"97","Transport_Load2","녹색길","Green Load","Green Load","Green Load","Tải xanh","Beban Hijau","โหลดสีเขียว","Зелёная загрузка","","","","","",""
"97","Transport_Load3","미소거리","Miso Load","Miso Load","Miso Load","Tải Miso","Beban Miso","มิโซะโหลด","Мисо-загрузка","","","","","",""
"97","Transport_Load4","아름거리","Arum Load","Arum Load","Arum Load","Tải Arum","Muatan Arum","อารัม โหลด","Арум Лоуд","","","","","",""
"97","Transport_Load5","맘스거리","Mom's Load","Mom's Load","Mom's Load","Gánh nặng của mẹ","Beban Ibu","ภาระของแม่","Мамина ноша","","","","","",""
"97","Transport_Load6","기타","ETC","ETC","ETC","VÂN VÂN","DLL","อีทีซี","И Т. Д","","","","","",""
"97","Transport_Subway","지하철","Subway","地下鉄","地下鉄","Tàu điện ngầm","Subway","ซับเวย์","Метро","","","","","",""
"99","Transport_SubwayContent_1","1호선 오산역 1번 출구 (오색시장까지 도보 약 9분)","Line 1–Osan Station, Exit 1 (≈9-minute walk to Osaek Market)","1号線 オサン駅 1番出口（オセク市場まで徒歩約9分）","1号线 乌山市站 1号出口（步行约9分钟到五色市场）","Tuyến số 1 – Ga Osan, Lối ra số 1 (khoảng 9 phút đi bộ đến chợ Osaek)","Jalur 1 – Stasiun Osan, Pintu Keluar 1 (sekitar 9 menit berjalan kaki ke Pasar Osaek)","สาย 1 – สถานีโอซาน ทางออก 1 (เดินประมาณ 9 นาทีถึงตลาดโอแซก)","Линия 1 – станция Осан, выход 1 (примерно 9 минут пешком до рынка Осаек)","","","","","",""
"100","Transport_SubwayContent_2","","","","","","","","","","","","","",""
"101","Transport_SubwayContent_3","","","","","","","","","","","","","",""
"102","Transport_Bus","버스","Bus","バス","バス","Xe buýt","Bis","รสบัส","Автобус","","","","","",""
"103","Transport_BusContent_1","일반: 11, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35","Local: 11, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35","一般: 11, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35","普通: 11, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35","Địa phương: 11, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35","Lokal: 11, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35","เวลาท้องถิ่น: 11, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35","Местные: 11, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35","","","","","",""
"104","Transport_BusContent_2","광역: 1311, 1551B, 5001, 5005, 7000 (오산역 버스터미널 정차)","Express: 1311, 1551B, 5001, 5005, 7000 (stop at Osan Station Bus Terminal)","広域: 1311, 1551B, 5001, 5005, 7000（オサン駅バスターミナル停車）","快速: 1311, 1551B, 5001, 5005, 7000（乌山市站客运站停靠）","Tuyến xe buýt nhanh: 1311, 1551B, 5001, 5005, 7000 (dừng tại bến xe buýt Osan)","Ekspres: 1311, 1551B, 5001, 5005, 7000 (berhenti di Terminal Bus Stasiun Osan)","รถโดยสารด่วน: สาย 1311, 1551B, 5001, 5005, 7000 (จอดที่สถานีขนส่งโอซาน)","Экспресс: 1311, 1551B, 5001, 5005, 7000 (остановка у автовокзала Осан)","","","","","",""
"105","Transport_BusContent_3","","","","","","","","","","","","","",""
"106","Transport_MapInfo","오색시장은 신선한 먹거리와 다양한 전통 문화를 즐길 수 있는 오산의 활기찬 전통시장입니다.","Osaek Market is a lively traditional marketplace in Osan, where you can taste local street foods, buy fresh produce, and enjoy authentic Korean market culture.","オセク市場は、新鮮な食材や多様な伝統文化を楽しめるオサンの活気ある伝統市場です。","五色市场是乌山市一个充满活力的传统市场，可以品尝街头小吃、购买新鲜食材，感受韩国传统文化。","Chợ Osaek là một khu chợ truyền thống nhộn nhịp ở Osan, nơi bạn có thể thưởng thức các món ăn đường phố địa phương, mua nông sản tươi sống và tận hưởng văn hóa chợ truyền thống Hàn Quốc đích thực.","Pasar Osaek adalah pasar tradisional yang ramai di Osan, tempat Anda dapat mencicipi makanan jalanan lokal, membeli hasil bumi segar, dan menikmati budaya pasar Korea yang autentik.","ตลาดโอแซกเป็นตลาดแบบดั้งเดิมที่มีชีวิตชีวาในเมืองโอซาน ที่นี่คุณสามารถลิ้มลองอาหารริมทางท้องถิ่น ซื้อผลผลิตสดใหม่ และเพลิดเพลินไปกับวัฒนธรรมตลาดเกาหลีแท้ๆ","Рынок Осаек — это оживленный традиционный рынок в Осане, где вы можете попробовать местную уличную еду, купить свежие продукты и насладиться подлинной корейской рыночной культурой.","","","","","",""
"107","Transport_MapContent_1","Jeong-I, 오색시장의 AI 마스코트를 [WITH]를 통해 만나보세요!
장날: 매달 3일, 8일, 13일, 18일, 23일, 28일에 5일장이 열립니다.","Meet Jeong-I, Osaek Market’s AI mascot, via [WITH]!
Market days: 3rd, 8th, 13th, 18th, 23rd, 28th each month.","Jeong-I、五色市場のAIマスコットを[WITH]で体験しよう！
市の日：毎月3日、8日、13日、18日、23日、28日。","通过[WITH]认识五色市场的AI吉祥物Jeong-I吧！
市集日：每月3、8、13、18、23、28日。","Gặp gỡ Jeong-I, linh vật AI của Chợ Osaek, thông qua [WITH]!

Ngày chợ: 3, 8, 13, 18, 23, 28 mỗi tháng.","Mari berkenalan dengan Jeong-I, maskot AI Pasar Osaek, melalui [WITH]!
Hari pasar: tanggal 3, 8, 13, 18, 23, 28 setiap bulan.","พบกับจองอี มาสคอต AI ของตลาดโอแซก ผ่านทาง [WITH]!
วันทำการตลาด: วันที่ 3, 8, 13, 18, 23, 28 ของทุกเดือน","Познакомьтесь с Чон-И, ИИ-талисманом рынка Осаек, через [WITH]!
Рыночные дни: 3, 8, 13, 18, 23, 28 числа каждого месяца.","","","","","",""
"108","Transport_MapContent_2","WITH' (WIT AI Smart-Tourism Hardware Platform) 설치장소","WITH' (WIT AI Smart-Tourism Hardware Platform) ","WITH' (WIT AI Smart-Tourism Hardware Platform) ","WITH' (WIT AI Smart-Tourism Hardware Platform) ","'WITH' (Nền tảng phần cứng du lịch thông minh WIT AI)","WITH' (Platform Perangkat Keras Pariwisata Cerdas AI WIT)","WITH' (แพลตฟอร์มฮาร์ดแวร์การท่องเที่ยวอัจฉริยะ WITH AI)","WITH' (WIT AI Smart-Tourism Hardware Platform)","","","","","",""
"109","Transport_MapContent_3","오색시장 메인사거리  (오색시장 상인회 앞)"," "," "," ","#VALUE!","","","","","","","","",""
"116","Transport_JongroPickServiceContent","<color=#FE6C50>•</color> 공용주차장 실시간 주차정보
<color=#FE6C50>•</color> SOS 긴급신고
<color=#FE6C50>•</color> 정화조 청소예약, 건강이상 서비스 신청 등 민원서비스
<color=#FE6C50>•</color> 프로그램 / 강좌
<color=#FE6C50>•</color> 종로산책(골목길 탐방코스)","<color=#FE6C50>•</color> Real-time public parking availability  
<color=#FE6C50>•</color> SOS Emergency Alerts  
<color=#FE6C50>•</color> Civil services like septic tank cleaning and health check requests  
<color=#FE6C50>•</color> Programs / Courses  
<color=#FE6C50>•</color> Jongno Walk (Alleyway Tour Courses)","<color=#FE6C50>•</color> 公共駐車場のリアルタイム情報  
<color=#FE6C50>•</color> SOS緊急通報  
<color=#FE6C50>•</color> 浄化槽清掃予約、健康異常サービス申請などの民願サービス  
<color=#FE6C50>•</color> プログラム / 講座  
<color=#FE6C50>•</color> チョンノ散歩（路地裏探訪コース）","<color=#FE6C50>•</color> 公共駐車場のリアルタイム情報  
<color=#FE6C50>•</color> SOS緊急通報  
<color=#FE6C50>•</color> 浄化槽清掃予約、健康異常サービス申請などの民願サービス  
<color=#FE6C50>•</color> プログラム / 講座  
<color=#FE6C50>•</color> チョンノ散歩（路地裏探訪コース）","<color=#FE6C50>•</color> Thông tin về chỗ đỗ xe công cộng theo thời gian thực
<color=#FE6C50>•</color> Cảnh báo khẩn cấp SOS
<color=#FE6C50>•</color> Các dịch vụ công cộng như vệ sinh bể phốt và yêu cầu kiểm tra sức khỏe
<color=#FE6C50>•</color> Chương trình / Khóa học
<color=#FE6C50>•</color> Jongno Walk (Các khóa học tham quan ngõ hẻm)","<color=#FE6C50>•</color> Ketersediaan parkir umum secara real-time
<color=#FE6C50>•</color> Peringatan Darurat SOS
<color=#FE6C50>•</color> Layanan sipil seperti pembersihan tangki septik dan permintaan pemeriksaan kesehatan
<color=#FE6C50>•</color> Program / Kursus
<color=#FE6C50>•</color> Jongno Walk (Kursus Tur Gang)","• ตรวจสอบความพร้อมใช้งานของที่จอดรถสาธารณะแบบเรียลไทม์
• แจ้งเตือนเหตุฉุกเฉิน SOS
• บริการสาธารณะ เช่น การทำความสะอาดถังบำบัดน้ำเสียและการขอตรวจสุขภาพ
• โปรแกรม / หลักสูตร
• การเดินชมตรอกซอยจงโน (หลักสูตรทัวร์ชมตรอกซอย)","<color=#FE6C50>•</color> Информация о наличии общественных парковок в режиме реального времени
<color=#FE6C50>•</color> Экстренные оповещения SOS
<color=#FE6C50>•</color> Услуги гражданского сектора, такие как очистка септических резервуаров и запросы на проверку состояния здоровья
<color=#FE6C50>•</color> Программы / Курсы
<color=#FE6C50>•</color> Прогулка по переулкам Джонгно (курсы по аллеям)","","","","","",""
"117","MarketPaper_Onnuri","온누리 상품권","Onnuri Gift Certificate","おんぬり しょうひんけん","稳楼里商品券","Phiếu quà tặng Onnuri","Sertifikat Hadiah Onnuri","บัตรของขวัญ Onnuri","Подарочный сертификат Onnuri","","","","","",""
"117","MarketPaper_Onnuri_Content","온누리 상품권「온누리상품권」","Onnuri Gift Certificate「Onnuri Gift Certificate」","おんぬり しょうひんけん「おんぬり しょうひんけん」","稳楼里商品券「稳楼里商品券」","Phiếu quà tặng Onnuri「Phiếu quà tặng Onnuri」","Sertifikat Hadiah Onnuri「Sertifikat Hadiah Onnuri」","บัตรของขวัญ Onnuri「บัตรของขวัญ Onnuri」","Подарочный сертификат Onnuri「Onnuri Gift Certificate」","","","","","",""
"117","MarketPaper_Onnuri_Content_1","온누리 상품권이란?","What is Onnuri Gift Certificate?","おんぬり しょうひんけんとは？","什么是稳楼里商品券？","Phiếu quà tặng Onnuri là gì?","Apa itu Sertifikat Hadiah Onnuri?","บัตรของขวัญ Onnuri คืออะไร?","Что такое подарочный сертификат Onnuri?","","","","","",""
"117","MarketPaper_Onnuri_Content_1_1","전국 16개 금융기관에서 5천원, 1만원, 3만원권 단위로 구매하여 사용하는 온누리상품권","Onnuri Gift Certificates available in 5,000, 10,000, and 30,000 won denominations at 16 banks nationwide.","ぜんこく じゅうろくの きんゆう きかんで ごせんうぉん、いちまんうぉん、さんまんうぉん たんいで かって つかう おんぬり しょうひんけん","可在全国16家金融机构购买，面额分为5千、1万、3万韩元的稳楼里商品券。","Phiếu quà tặng Onnuri có các mệnh giá 5.000, 10.000 và 30.000 won, được phát hành tại 16 ngân hàng trên toàn quốc.","Sertifikat Hadiah Onnuri tersedia dalam nominal 5.000, 10.000, dan 30.000 won di 16 bank di seluruh negeri.","บัตรของขวัญ Onnuri มีจำหน่ายในราคา 5,000, 10,000 และ 30,000 วอน ที่ธนาคาร 16 แห่งทั่วประเทศ","Подарочные сертификаты Onnuri номиналом 5000, 10000 и 30000 вон можно приобрести в 16 банках по всей стране.","","","","","",""
"117","MarketPaper_Onnuri_Content_2","지류상품권 권종","Paper voucher denominations","かみの しょうひんけんの しゅるい","纸质商品券面额","Các mệnh giá phiếu giấy","Nominal voucher kertas","มูลค่าของบัตรกำนัลกระดาษ","Номиналы бумажных ваучеров","","","","","",""
"117","MarketPaper_Onnuri_Content_3","디지털 온누리상품권이란?","What is Digital Onnuri Gift Certificate?","でじたある おんぬり しょうひんけんとは？","什么是数字稳楼里商品券？","Phiếu quà tặng điện tử Onnuri là gì?","Apa itu Sertifikat Hadiah Digital Onnuri?","บัตรของขวัญดิจิทัล Onnuri คืออะไร?","Что такое цифровой подарочный сертификат Onnuri?","","","","","",""
"117","MarketPaper_Onnuri_Content_3_1","디지털 온누리상품권 앱 설치 후 기존 갖고 있는 카드를 등록하고 금액 충전 후, 실물카드 또는 QR코드 결제 방식으로 이용 가능한 온누리상품권","An Onnuri Gift Certificate that can be used via physical card or QR code after installing the Digital Onnuri App, registering your existing card, and charging the balance.","でじたある おんぬり しょうひんけん あぷりを いれ、もっている かあどを とうろくして おかねを いれたあと、かあどや きゅうあある こおどで つかえる おんぬり しょうひんけん","安装数字稳楼里商品券App并绑定现有银行卡充值后，可通过实体卡或二维码支付使用的稳楼里商品券。","Phiếu quà tặng Onnuri có thể sử dụng bằng thẻ vật lý hoặc mã QR sau khi cài đặt ứng dụng Onnuri kỹ thuật số, đăng ký thẻ hiện có và trừ tiền vào thẻ.","Sertifikat Hadiah Onnuri yang dapat digunakan melalui kartu fisik atau kode QR setelah menginstal Aplikasi Digital Onnuri, mendaftarkan kartu Anda yang sudah ada, dan mengisi saldo.","บัตรของขวัญ Onnuri ที่สามารถใช้ได้ทั้งในรูปแบบบัตรจริงหรือรหัส QR หลังจากติดตั้งแอปพลิเคชัน Digital Onnuri ลงทะเบียนบัตรที่มีอยู่ และเติมเงินลงในบัตรแล้ว","Подарочный сертификат Onnuri, который можно использовать с помощью физической карты или QR-кода после установки цифрового приложения Onnuri, регистрации существующей карты и списания средств.","","","","","",""
