"운영팀> 2번 모니터> 유니티 프로그램 내용 Num","Key","Korean","English","Japanese","Chinese","Vietnamese","Thai","Команда управления > Монитор 2 > Содержание программы Unity Russian","Indonesian","Description","구분(위치)"
"84","Greeting_Hobby_Second_Content","얼마전부터 배우기 시작한 골프(골린이)
녹색 잔디 위에서 시원한 바람은 기분까지 
상쾌하게 만들어줘요 
잔디 위에서 여유롭게 스윙~ 
골프를 즐기며 자연 속에서 힐링해요. 
멋진 골프웨어 스타일링도 놓칠 수 없죠!","I recently started learning golf (a golf newbie!).
The cool breeze over the green grass lifts my mood.
A relaxed swing on the fairway~
I enjoy golf while healing in nature.
And of course, I can’t miss out on stylish golfwear!","最近ゴルフを始めたばかりのゴルフ初心者（ゴルリンイ）です。爽やかな風と緑の芝生の中でスイングを楽しみ、リフレッシュしています。おしゃれなゴルフウェアも楽しみのひとつです！","最近刚开始学习高尔夫（高尔林——高尔夫小白）。 绿色草坪上的清风连心情也变得清爽起来。在草地上轻松挥杆~。一边打高尔夫一边在大自然中疗愈身心。当然不能错过帅气的高尔夫穿搭！","Mới tập chơi golf gần đây! Làn gió mát trên cỏ xanh làm tâm trạng thật sảng khoái. Vung gậy thảnh thơi~ Thư giãn giữa thiên nhiên. Không thể bỏ qua phong cách đồ golf cực chất!","เพิ่งเริ่มเรียนกอล์ฟค่ะ (มือใหม่)! ลมเย็นๆ บนสนามหญ้าสีเขียวทำให้สดชื่นมาก วาดสวิงอย่างผ่อนคลาย~ ฮีลใจท่ามกลางธรรมชาติ แถมชุดกอล์ฟสวยๆ ก็ห้ามพลาดเด็ดขาด!","Недавно я начала учиться играть в гольф (я новичок!).
Прохладный ветерок над зеленой травой поднимает мне настроение.
Расслабленный удар на фервее~
Я наслаждаюсь гольфом, отдыхая на природе.
И, конечно же, я не могу пропустить стильную одежду для гольфа!","Baru mulai belajar golf (pemula)! Angin sejuk di padang rumput hijau bikin segar. Swing santai di atas rumput~ Healing di alam sambil main golf. Gaya baju golf yang keren juga wajib!","",""
"85","Greeting_Hobby_Third","테니스는 내 스트레스 해소법!","Tennis is my way of relieving stress!","テニスは私のストレス解消法！ ","网球是我释放压力的方法！ ","Tennis là cách giải tỏa căng thẳng của mình!","เทนนิสคือวิธีคลายเครียดของฉัน!","Теннис — мой способ снять стресс!","Tenis adalah cara melepas stresku!","",""
"86","Greeting_Hobby_Third_Content","인사가 가장 좋아하는 운동은 테니스~
빠르게 움직이고 스매시 한 방! 
인사는 테니스를 치면서 에너지를 발산해요. 
친구들과 팀을 짜서 게임을 하거나, 조용한 아침에 혼자 연습하는 것도 좋아해요. 
친구들과 땀 흘린 후 시원한 음료 한 잔까지, 
이게 바로 인사만의 완벽한 하루!","INSA's favorite sport is tennis—quick moves and a powerful smash! INSA enjoys both friendly matches and quiet morning practice. After a good workout, a refreshing drink makes the day complete!","インサが一番好きなスポーツはテニス〜 素早く動いて、スマッシュ一発！ インサはテニスをしながらエネルギーを発散します。友達とチームを組んで試合をしたり、静かな朝に一人で練習するのも好きです。汗をかいた後の冷たいドリンクまで、これがインサだけの完璧な一日！
","INSA 最喜欢的运动就是网球～ 快速移动，再来一记强力扣杀！ INSA 在打网球时释放能量。无论是和朋友组队比赛，还是在清晨一个人练习，INSA 都很喜欢。挥汗之后再来一杯冰饮，这就是 INSA 独一无二的完美一天！","Môn thể thao INSA thích nhất là tennis~ Di chuyển nhanh và cú smash cực mạnh! Mình giải tỏa năng lượng qua tennis. Thích đấu nhóm cùng bạn bè hay tự tập buổi sáng yên tĩnh. Một ly nước mát sau khi đổ mồ hôi, đó là ngày hoàn hảo của INSA!","กีฬาโปรดของอินซาคือเทนนิสค่ะ~ เคลื่อนที่ให้ไวแล้วสแมชเลย! อินซาปลดปล่อยพลังผ่านเทนนิส ชอบทั้งเล่นทีมกับเพื่อนและซ้อมคนเดียวตอนเช้าๆ หลังเสียเหงื่อได้ดื่มน้ำเย็นๆ กับเพื่อนๆ นี่แหละวันที่สุดยอดของอินซา!","Любимый вид спорта INSA — теннис: быстрые движения и мощный смеш! INSA любит как дружеские матчи, так и спокойные утренние тренировки. После хорошей разминки освежающий напиток сделает день идеальным!","Olahraga favorit INSA adalah tenis~ Gerak cepat dan smash! Aku melepas energi lewat tenis. Suka main bareng teman atau latihan sendiri di pagi hari. Minum yang segar setelah berkeringat, itulah hari yang sempurna bagi INSA!","",""
"88","Greeting_Stretching_First","인사랑 함께 가볍게 스트레칭 해요!","Let’s do some light stretching together with INSA!","インサと一緒に軽くストレッチしましょう！","和INSA一起轻松拉伸吧！","Cùng INSA khởi động nhẹ nhàng nào!","มาสเตรทชิ่งเบาๆ ไปกับอินซากันค่ะ!","Давайте сделаем легкую растяжку вместе с INSA!","Yuk, peregangan ringan bareng INSA!","",""
"89","Greeting_Stretching_First_Content","오랜 시간 걷기 전에, 잠깐! 저를 따라 가볍게 몸을 풀어볼까요? 
기분도 리프레시~ 에너지도 업!
화면 속 저를 따라 천천히 따라 해보세요. 
스트레칭 후엔 더 가볍고 즐겁게 인사동을 여행할 수 있어요~","Before a long walk, take a moment!
Let’s do some light stretching to refresh and energize.
Just follow me on the screen—
you’ll enjoy your Insadong trip even more after a good stretch!","長時間歩く前に、ちょっと待って！
軽く体をほぐしてリフレッシュしましょう。
画面の動きにゆっくり合わせてください。
ストレッチ後は、もっと楽しく仁寺洞を歩けますよ〜","长时间步行前，先暂停一下！跟着我轻松地活动一下身体吧。
让心情焕然一新，能量满满！
慢慢跟着屏幕上的我做动作。
拉伸后，你可以更轻松愉快地游览仁寺洞哦~","Trước khi đi bộ lâu, đợi chút nào! Cùng mình khởi động nhẹ nhàng nhé? Tâm trạng sảng khoái, năng lượng tràn đầy! Hãy làm theo mình trên màn hình thật chậm rãi. Sau khi giãn cơ, bạn sẽ khám phá Insadong nhẹ nhàng và vui vẻ hơn đó~","ก่อนจะเดินนานๆ แวะสักนิด! มายืดเส้นยืดสายไปกับฉันไหมคะ? รีเฟรชร่างกายและเติมพลัง! ทำตามฉันในหน้าจอช้าๆ นะคะ หลังจากสเตรทชิ่งแล้ว คุณจะเที่ยวอินซาดงได้อย่างเบาสบายและสนุกขึ้นแน่นอนค่ะ~","Перед долгой прогулкой уделите минутку!
Давайте сделаем легкую растяжку, чтобы освежиться и набраться сил.
Просто повторяйте за мной на экране —
после хорошей разминки вы получите еще больше удовольствия от прогулки по Инсадону!","Sebelum jalan jauh, tunggu sebentar! Yuk, lemaskan badan bareng aku? Refresh suasana hati dan tambah energi! Ikuti gerakanku di layar pelan-pelan ya. Habis peregangan, jalan-jalan di Insadong jadi makin ringan dan seru!","",""
"90","Greeting_Stretching_Second","피로 예방!","Fatigue prevention!","疲労予防！","疲劳预防！","Phòng ngừa mệt mỏi!","ป้องกันความเหนื่อยล้า!","Профилактика усталости!","Cegah Kelelahan!","",""
"91","Greeting_Stretching_Second_Content","계속 걷다 보면 다리와 허리에 피로가 쌓여요. 
중간에 가볍게 스트레칭하면 몸이 훨씬 편해져요!
‘인사’와 함께 간단한 운동을 함께 해봐요 ","If you keep walking, your legs and lower back will get tired. Doing some light stretching in between makes your body feel much better! Let’s try some simple exercises together.","歩き続けると、脚や腰に疲れがたまります。
途中で軽くストレッチをすると体がずっと楽になりますよ！「インサ」と一緒に簡単な運動をしてみましょう。","一直走路会让腿和腰感到疲劳。
中途做些轻松的拉伸，身体会舒服很多！
和“INSA”一起做些简单的运动吧。","Đi bộ liên tục sẽ khiến chân và lưng bị mỏi. Giãn cơ nhẹ nhàng giữa chừng sẽ giúp cơ thể thoải mái hơn! Hãy cùng 'INSA' tập vài động tác đơn giản nhé.","เดินนานๆ จะทำให้เมื่อยขาและหลังค่ะ ถ้าแวะสเตรทชิ่งเบาๆ ระหว่างทางจะช่วยให้สบายตัวขึ้นเยอะเลย! มาลองออกกำลังกายง่ายๆ ไปกับ 'อินซา' กันนะคะ","Если вы будете долго идти, ваши ноги и поясница устанут. Легкая растяжка в перерывах поможет вашему телу почувствовать себя намного лучше! Давайте попробуем несколько простых упражнений вместе.","Jalan terus bisa bikin kaki dan pinggang capek. Peregangan ringan di sela waktu bakal bikin badan jauh lebih enak! Yuk, olahraga simpel bareng 'INSA'.","",""
"92","Greeting_Stretching_Third","기분 전환!","Refresh your mood !","気分転換！","换换心情！","Thay đổi tâm trạng!","เปลี่ยนบรรยากาศ!","Освежите настроение!","Penyegaran Suasana!","",""
"93","Greeting_Stretching_Third_Content","스트레칭은 몸뿐 아니라 마음까지 힐링타임! 
활력 충전하고 더 신나게 여행할 수 있어요.
잠시 쉬었다가는 휴식 타임 어떠신가요~","Stretching refreshes not only your body but also your mind! Recharge your energy and enjoy your trip even more. How about taking a short break for some rest~","ストレッチは体だけでなく心までリフレッシュ！
活力をチャージして、もっと楽しく旅ができます。ちょっと休憩してリラックスタイムはいかがですか〜","拉伸不仅能让身体焕然一新，心情也会清爽！
充电活力，更加开心地旅行吧。
休息一下，来个小憩时间怎么样～
","Giãn cơ không chỉ tốt cho cơ thể mà còn thư giãn cả tâm hồn! Nạp đầy năng lượng để chuyến đi thêm thú vị. Nghỉ ngơi một chút thì sao nhỉ?","การสเตรทชิ่งคือช่วงเวลาฮีลใจและกาย! เติมพลังแล้วไปเที่ยวให้สนุกยิ่งขึ้น แวะพักเหนื่อยสักครู่ดีไหมคะ?","Растяжка освежает не только тело, но и разум! Зарядитесь энергией и наслаждайтесь поездкой еще больше. Как насчет небольшого перерыва на отдых~","Peregangan adalah waktu healing bagi tubuh dan jiwa! Isi energi lagi agar makin semangat jalannya. Yuk, istirahat sejenak dulu!","",""
"94","Transport_Public","대중교통","Public Transportation","公共交通機関","公共交通","Giao thông công cộng","ขนส่งสาธารณะ","Общественный транспорт","Transportasi Umum","",""
"95","Transport_Map","인사동지도","Insadong Map","仁寺洞マップ","仁寺洞地图","Bản đồ Insadong","แผนที่อินซาดง","Карта Инсадона","Peta Insadong","",""
"96","Transport_Parking","주차장 안내","Parking Information","駐車場案内","停车场指南","Hướng dẫn bãi đỗ xe","ข้อมูลที่จอดรถ","Информация о парковке","Informasi Parkir","",""
"97","Transport_Subway","지하철","Subway","地下鉄","地铁","Tàu điện ngầm","รถไฟใต้ดิน","Метро","Subway / Kereta Bawah Tanah","",""
"98","Transport_SubwayContent_1","1호선 종각역 11번출구","Jonggak Exit 11","1号線 鐘閣駅 11番出口","1号线 钟阁站 11号出口","Tuyến 1, Ga Jonggak Cổng 11","สาย 1 สถานีจงกัก ทางออก 11","Станция Чонгак, выход 11","Jalur 1, Stasiun Jonggak Pintu Keluar 11","",""
"99","Transport_SubwayContent_2","3호선 안국역 6번출구","Anguk Exit 6","3号線 安国駅 6番出口","3号线 安国站 6号出口","Tuyến 3, Ga Anguk Cổng 6","สาย 3 สถานีอันกุก ทางออก 6","Станция Ангук, выход 6","Jalur 3, Stasiun Anguk Pintu Keluar 6","",""
"100","Transport_SubwayContent_3","종로3가역 5번출구","Jongno 3-ga Exit 5","鐘路3街駅 5番出口","钟路3街站 5号出口","Ga Jongno 3-ga Cổng 5","สถานีจงโน 3-กา ทางออก 5","Станция Чонно 3-га, выход 5","Stasiun Jongno 3-ga Pintu Keluar 5","",""
"101","Transport_Bus","버스","Bus","バス","公交车","Xe buýt","รถเมล์","Автобус","Bus","",""
"102","Transport_BusContent_1","M4102, 5500, 9003, 9301, 9400,940, 9411","M4102, 5500, 9003, 9301, 9400, 940, 9411","M4102、5500、9003、9301、9400、940、9411","M4102、5500、9003、9301、9400、940、9411","M4102, 5500, 9003, 9301, 9400,940, 9411","M4102, 5500, 9003, 9301, 9400,940, 9411","M4102, 5500, 9003, 9301, 9400, 940, 9411","M4102, 5500, 9003, 9301, 9400,940, 9411","",""
"103","Transport_BusContent_2","103,109, 143, 150, 151, 160, 161, 162, 171, 172, 260, 270, 271, 273, 370, 601, 606","103,109, 143, 150, 151, 160, 161, 162, 171, 172, 260, 270, 271, 273, 370, 601, 606","103,109, 143, 150, 151, 160, 161, 162, 171, 172, 260, 270, 271, 273, 370, 601, 606","103,109, 143, 150, 151, 160, 161, 162, 171, 172, 260, 270, 271, 273, 370, 601, 606","103,109, 143, 150, 151, 160, 161, 162, 171, 172, 260, 270, 271, 273, 370, 601, 606","103,109, 143, 150, 151, 160, 161, 162, 171, 172, 260, 270, 271, 273, 370, 601, 606","103,109, 143, 150, 151, 160, 161, 162, 171, 172, 260, 270, 271, 273, 370, 601, 606","103,109, 143, 150, 151, 160, 161, 162, 171, 172, 260, 270, 271, 273, 370, 601, 606","",""
"104","Transport_BusContent_3","7212, 1020, 7022, 7025","7212, 1020, 7022, 7025","7212、1020、7022、7025","7212、1020、7022、7025","7212, 1020, 7022, 7025","7212, 1020, 7022, 7025","7212, 1020, 7022, 7025","7212, 1020, 7022, 7025","",""
"105","Transport_MapInfo","한국의 전통문화를 접할 수 있는 서울의 대표 거리 인사동입니다.","Insadong is a representative street in Seoul where you can experience Korean traditional culture.","仁寺洞は、韓国の伝統文化を体験できるソウルの代表的な通りです。","仁寺洞是首尔具有代表性的街道，在这里可以体验韩国传统文化。","Chào mừng bạn đến với Insadong, con phố tiêu biểu của Seoul, nơi bạn có thể trải nghiệm văn hóa truyền thống Hàn Quốc.","อินซาดง ถนนสายหลักของโซลที่คุณจะได้สัมผัสกับวัฒนธรรมดั้งเดิมของเกาหลีค่ะ","Инсадон — это репрезентативная улица в Сеуле, где вы можете познакомиться с традиционной корейской культурой.","Insadong, jalan ikonik di Seoul tempat Anda bisa merasakan budaya tradisional Korea.","",""
"106","Transport_MapContent_1","*인사동의 상점검색, 한복AR착장, AI 추천 코스, 날씨정보제공, 환율정보제공등 
 다양한 정보와 체험을 제공하는  인사동의 AI 키오스크 [WITH]를  경험해보세요~
 (인사동의 홍보 모델이자 마스코트인 ‘인사’도 함께 만나보세요)","*Discover [WITH], the AI kiosk of Insadong offering shop search, AR hanbok try-on, AI-recommended courses, weather updates, exchange rate information, and more!
 (Meet “INSA,” the Insa-dong guide, too!)","*ショップ検索、AR韓服試着、AIおすすめコース、天気情報、為替情報など、
さまざまな情報と体験を提供するインサドンのAIキオスク [WITH] をぜひ体験してください！
 (案内役「インサ」にも会えます。)","在仁寺洞体验 AI 资讯亭 [WITH] 吧！
这里提供商店搜索、韩服 AR 试穿、AI 推荐路线、天气资讯、汇率资讯等多种信息与体验。 ( 还能见到仁寺洞的宣传模特和吉祥物 “仁沙”！)","","","*Откройте для себя [WITH], ИИ-киоск Инсадона, предлагающий поиск магазинов, примерку ханбока в AR, маршруты, рекомендованные ИИ, обновления погоды, информацию о курсах валют и многое другое!
 (А также познакомьтесь с «INSA», гидом по Инсадону!)","","",""
"107","Transport_MapContent_2","""WIT AI SMART KIOSK"" 설치장소","Installation Location of ""WIT AI SMART KIOSK""","「WIT AI SMART KIOSK」設置場所","""WIT AI SMART KIOSK"" 安装地点","Địa điểm lắp đặt ""WIT AI SMART KIOSK""","สถานที่ติดตั้ง ""WIT AI SMART KIOSK""","Место установки ""WIT AI SMART KIOSK""","Lokasi Pemasangan ""WIT AI SMART KIOSK""","",""
"108","Transport_MapContent_3","1. 북인사 마당 앞  / 2. 인사동 쉼터(사거리) / 3. 남인사광장 앞","1. In front of Buk-Insa Yard / 2. Naminsa Rest Area / 3.In front of Naminsa Plaza","1. 北仁寺広場前 / 2.南仁寺休憩所 / 3. 南仁寺広場前","1. 北仁寺庭院前 / 2. 南仁寺休息区 / 3. 南仁寺广场前","Trước sân Bukinsadong / Khu nghỉ chân Insadong (Ngã tư) / Trước quảng trường Naminsadong","หน้าลานบุกอินซาดง / Khu nghỉ chân Insadong (Ngã tư) / หน้าลานกว้างนัมอินซาดง","1. Перед двором Бук-Инса / 2. Зона отдыха Наминса / 3. Перед площадью Наминса","Di depan Bukinsadong Madang / Area Istirahat Insadong (Persimpangan) / Di depan Naminsadong Plaza","",""
"151","SubHeader_Transport","* 인사동을 올수 있는 다양한 방법을 알려드릴게요 ","* Let me show you the different ways you can get to Insa-dong","* 仁寺洞 へのさまざまなアクセス方法をご案内します","* 我来告诉你前往仁寺洞的多种方式","Mình sẽ hướng dẫn bạn các cách khác nhau để đến Insadong nhé!","ฉันจะแนะนำวิธีต่างๆ ในการเดินทางมายังอินซาดงให้ทราบค่ะ!","* Позвольте мне показать вам различные способы добраться до Инсадона","Aku bakal kasih tahu berbagai cara untuk pergi ke Insadong!","",""
"109","Transport_JongroPick","종로 Pick","Jongno Pick","チョンノPick","钟路Pick (Jongno Pick)","Lựa chọn hàng đầu tại Jongno","จงโน พิก (ที่เที่ยวแนะนำในจงโน)","Jongno Pick","Pilihan Terbaik Jongno","",""
"110","Transport_Free","무료","Free","無料","免费","Miễn phí","ฟรี","Бесплатно","Gratis","",""
"111","Transport_Age","전체이용가","All Ages","全年齢対象","全年龄适用","Mọi lứa tuổi","เหมาะสำหรับทุกวัย","Для всех возрастов","Semua Umur","",""
"112","Transport_AppDetail","앱 상세정보","App Information","アプリ詳細情報","APP详细信息","Thông tin chi tiết ứng dụng","รายละเอียดแอป","Информация о приложении","Detail Aplikasi","",""
"113","Transport_AppDetailContent","종로에는 종로Pick! 종로구 스마트 라이프앱 종로Pick을 통해
종로구의 실시간 정보와 행정서비스 이용이 가능해집니다.","Jongno has JongnoPick! With this smart life app, you can access  
real-time information and administrative services in Jongno-gu.","チョンノにはチョンノPick！このスマートライフアプリで、  
チョンノ区のリアルタイム情報や行政サービスが利用できます。","钟路就用钟路Pick！ 
通过这款智慧生活APP，可以获取钟路区的实时信息并使用行政服务。","Jongno Pick! Qua ứng dụng Jongno Pick, bạn có thể dùng dịch vụ hành chính và xem tin tức Jongno thực tế.","จงโนต้อง Jongno Pick! รับข้อมูลเรียลไทม์และบริการภาครัฐของจงโนได้ง่ายๆ ผ่านแอป Jongno Pick ค่ะ","В Чонно есть JongnoPick! С помощью этого умного приложения вы можете получить доступ к 
информации в реальном времени и административным услугам в районе Чонно-гу.","Jongno Pick! Akses info real-time dan layanan publik Jongno-gu melalui aplikasi smart life Jongno Pick.","",""
"114","Transport_JongroPickService","종로 Pick 앱의 5대 주요 서비스","5 Main Services of the JongnoPick App","チョンノPickアプリの5大サービス","钟路Pick APP的五大服务","5 dịch vụ chính của ứng dụng Jongno Pick","5 บริการหลักของแอป Jongno Pick","5 основных услуг приложения JongnoPick","5 Layanan Utama Aplikasi Jongno Pick","",""
"115","Transport_JongroPickServiceContent_1","공용주차장 실시간 주차정보","Real-time public parking availability  ","公共駐車場のリアルタイム情報  ","公共停车场实时信息","Thông tin đỗ xe công cộng thực tế","ข้อมูลที่จอดรถสาธารณะแบบเรียลไทม์","Наличие мест на общественных парковках в реальном времени","Info Parkir Umum Secara Real-time","",""
"1151","Transport_JongroPickServiceContent_2","SOS 긴급신고","SOS Emergency Alerts ","SOS緊急通報  ","SOS 紧急申报","Báo động khẩn cấp SOS","แจ้งเหตุฉุกเฉิน SOS","Экстренные оповещения SOS","Laporan Darurat SOS","",""
"1152","Transport_JongroPickServiceContent_3","정화조 청소예약, 건강이상 서비스 신청 등 민원서비스","Civil services like septic tank cleaning and health check requests 
"," 浄化槽清掃予約、健康異常サービス申請などの民願サービス  ","化粪池清理预约、健康异常服务申请等便民服务","Dịch vụ dân sự: Đặt lịch dọn bể phốt, dịch vụ y tế...","บริการจองล้างถังบำบัด, ขอรับบริการสุขภาพ และงานบริการรัฐ","Гражданские услуги, такие как очистка септиков и запросы на проверку здоровья 
","Layanan publik: Sedot septic tank, layanan kesehatan, dll.","",""
"1153","Transport_JongroPickServiceContent_4","프로그램 / 강좌"," Programs / Courses  ","プログラム / 講座  ","项目 / 讲座","Chương trình / Khóa học","โปรแกรม / คอร์สเรียน","Программы / Курсы","Program / Kursus","",""
"1154","Transport_JongroPickServiceContent_5","종로산책(골목길 탐방코스)","Jongno Walk (Alleyway Tour Courses)","チョンノ散歩（路地裏探訪コース）","钟路漫步（胡同探访路线）","Tản bộ Jongno (Khám phá ngõ nhỏ)","เดินเล่นจงโน (ทัวร์ตรอกซอกซอย)","Прогулка по Чонно (Маршруты по переулкам)","Jalan Jongno (Tur Gang Kecil)","",""
"120","Photo_HanbokTry","AR 한복체험  ","AR Hanbok Try-On","AR 韓服 体験","Ar 韩服 体验","Trải nghiệm Hanbok AR","ลองชุดฮันบก AR","Примерка ханбока в AR","Pengalaman Hanbok AR","","아이콘20"
"121","Photo_HanbokSelect","한복/의상 선택하기","Choose Hanbok","韓服を選ぶ","选择韩服","Chọn Hanbok/Trang phục","เลือกชุดฮันบก/เครื่องแต่งกาย","Выбор ханбока/костюма","Pilih Hanbok/Busana","","아이콘20"
"122","Photo_HanbokSelectContent","원하시는 의상을 고르고 선택 완료 버튼을 누른뒤 사진촬영 버튼을 눌러주세요 ","Please choose your desired costume and press the ""Complete Selection"" button","お好きな衣装を選んで「選択完了」ボタンを押してください","请选择您喜欢的服装，然后点击“完成选择”按钮","Chọn trang phục, nhấn 'Đã chọn xong' rồi nhấn 'Chụp ảnh'.","เลือกชุดที่ชอบ กด 'เลือกเสร็จแล้ว' แล้วกด 'ถ่ายภาพ' ค่ะ","Выберите желаемый костюм, нажмите кнопку «Выбор завершен», а затем нажмите кнопку «Сделать фото».","Pilih busana, tekan 'Selesai Memilih' lalu 'Ambil Foto'.","","아이콘20"
"16","Hanbok_1","여자 한복","W>Hanbok","女性用韓服","女式韩服","Hanbok nữ","ชุดฮันบกหญิง","Женский ханбок","Hanbok Wanita","","아이콘20"
"17","Hanbok_2","여자 모델","M>Model        ","女性モデル","女性模特","Người mẫu nữ","นางแบบ","Женская модель","Model Wanita","","아이콘20"
"18","Hanbok_3","남자 한복","W>Hanbok","男性用韓服","男式韩服","Hanbok nam","ชุดฮันบกชาย","Мужской ханбок","Hanbok Pria","","아이콘20"
"19","Hanbok_4","남자 모델","M>Model        ","男性モデル","男性模特","Người mẫu nam","นายแบบ","Мужская модель","Model Pria","","아이콘20"
"20","Hanbok_5","글로벌 의상","World ","世界の衣装","世界服饰","Trang phục quốc tế","ชุดนานาชาติ","Мировые костюмы","Busana Global","","아이콘20"
"21","Hanbok_6","이벤트/취사병","Events","イベント","活动 ","Sự kiện / Kỷ niệm","อีเวนต์ / วันสำคัญ","Мероприятия / Военный повар","Event / Peringatan","","아이콘20"
"22","Hanbok_7","브랜드의상","Brand","ブランド","品牌","Trang phục thương hiệu","ชุดแบรนด์เนม","Брендовая одежда","Busana Brand","","아이콘20"
"23","Hanbok_8","K-CULTURE","K-CULTURE","K-カルチャー","韩国文化","K-CULTURE","K-CULTURE","K-CULTURE","K-CULTURE","","아이콘20"
"24","Hanbok_9","ComeUp","ComeUp","ComeUp","ComeUp","","","ComeUp","","컴업용 [이벤트/기념일] 대신들어감",""
"123","Photo_SelectConfirm","선택 완료","Complete Selection","選択完了","完成选择","Đã chọn xong","เลือกเสร็จแล้ว","Выбор завершен","Selesai Memilih","","아이콘20"
"123","Photo_SelectAlone","사진촬영 (혼자찍기)","Solo Shot","ひとりで撮影","单人拍摄","Chụp ảnh (Chụp một mình)","ถ่ายรูป (ถ่ายคนเดียว)","Фотосъемка (один)","Foto (Sendiri)","","아이콘20"
"123","Photo_SelectTogether","사진촬영 (with '인사')","With ‘Insa’","「インサ」と一緒に","与“INSA”一起","Chụp ảnh (cùng Insa)","ถ่ายรูป (กับอินซา)","Фотосъемка (с «Инса»)","Foto (bersama Insa)","","아이콘20"
"124","Photo_TakePhoto","사진촬영","Take Photo","写真を撮る","拍照","Chụp ảnh","ถ่ายภาพ","Сделать фото","Ambil Foto","","아이콘20"
"125","Photo_TakePhotoContent","• 사진촬영 버튼을 누르고 좌측 카메라에 얼굴을 바라봐주세요.  
   10초후 촬영이 시작됩니다. 결과물이 나오면 QR이 제공됩니다. 
   QR에 핸드폰 카메라를 담으시면 핸드폰에 저장됩니다.  ","• Press Photo and look at the left camera. 
   The photo will be taken in 10 seconds. Save it to your phone. ","• 撮影を押して左のカメラを見てください。
   10秒後に開始し、結果は左と前の画面に表示されます。","• 按拍照按钮并看向左侧摄像头，10秒后开始拍摄。
   结果会显示在左侧和前方屏幕。","• Nhấn nút chụp và nhìn vào camera bên trái.
Chụp sau 10 giây. Sau đó mã QR sẽ hiện ra.
Quét mã QR bằng điện thoại để lưu ảnh.","• กดปุ่มถ่ายภาพแล้วมองไปที่กล้องทางซ้ายค่ะ
จะเริ่มถ่ายใน 10 วินาที และมี QR ปรากฏขึ้น
สแกน QR ด้วยมือถือเพื่อบันทึกรูปค่ะ","• Нажмите кнопку съемки и посмотрите в левую камеру.
Съемка начнется через 10 секунд. После завершения появится QR-код.
Отсканируйте QR-код камерой телефона, чтобы сохранить фото на устройство.","• Tekan tombol foto dan lihat kamera di sisi kiri.
Foto dimulai dlm 10 detik. QR akan muncul setelahnya.
Scan QR dengan ponsel untuk menyimpan foto.","","아이콘20"
"126","Photo_PrivacyPolicy","[개인정보활용동의]","[Consent to Use of Personal Information]","[個人情報利用同意]","[同意使用个人信息]","[Đồng ý dùng thông tin cá nhân]","[ยินยอมการใช้ข้อมูลส่วนบุคคล]","[Согласие на обработку персональных данных]","[Persetujuan Data Pribadi]","","아이콘20"
