"운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기  NO","Key","VideoFileName","KR","EN","JP","CN","우측상단 서브타이틀 KR","EN","JP","CN","재생조건 재생조건(Condition)","Description","넘버링 ICON-NO"
"60","Map","M34-B-(2)=6-V1-Fin-down","즐거운 추억이 될 쇼핑 아이템들을 찾으시나요?
오색시장에는 다양한 전통시장 상점들이 있어요.","Explore the map for a quick overview. For tailored recommendations, try the AI course or search by category.","地図で全体をサッと確認。自分に合ったおすすめはAIコースやカテゴリー検索を使ってみてください。","通过地图快速了解周边。想获取个性化推荐？
试试AI路线或按类别搜索吧。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 오색시장지도 ","",""
"51","Exchange","M40-A=4-V1-Fin-down","오늘자 환율 정보입니다. 주변은행에서 환전이 가능해요. 검색기능을 통해 주변 은행을 검색해 보세요 ","Here is today's exchange rate information. Use the search function to find nearby banks.","今日の為替レート情報です。近くの銀行で両替が可能です。","这是今天的汇率信息。您可以在附近的银行进行兑换。请通过搜索功能查找周围的银行。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 환율","",""
"52","Transport","M34-A-(1)=2-V1-Fin-down","오색시장 주변의 지도와 교통수단을 확인해 주세요
다양한 방법으로 오색시장을 방문할 수 있어요 ","Check the map and transportation options 
around Osaek Market.","オセク市場周辺の地図と交通手段を確認してください。","查看五色市场的地图和交通信息。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 교통안내 -> 대중교통","",""
"53","Transport_Category","M34-A-(2)=4-V1-Fin-down","오색시장 주변의 지도와 교통수단을 확인해 주세요
다양한 방법으로 오색시장을 방문할 수 있어요 ","Check the map and transportation options 
around Osaek Market.","オセク市場周辺の地図と交通手段を確認してください。","查看五色市场的地图和交通信息。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 교통안내  -> 오색시장지도 ","",""
"54","Transport_Detail","M34-A-(3)=3-V1-Fin-down","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your phone to 
receive detailed directions","スマートフォンで［QR］コードを読み取れば、
道案内も受けられますよ","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 교통안내 -> 주차장안내 ","",""
"","","","전국 시장","","","","","","","","","",""
"27","MarketPaper","M34-H2(3)=2-V1-Fin-down","지역화폐로 다양한 혜택을 누려보세요.
앱에서 충전 후 가맹점에서 바로 사용 가능합니다.","Enjoy benefits with local currency.
Recharge in the app and use at stores.","地域通貨でお得な特典を。
アプリでチャージ後、加盟店で即利用可能。","享受地方货币的多重优惠。
App 充值后即可在加盟店使用。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 
-> 시장화폐(오색전)","",""
"","MarketPaper","","전통시장 전용 온누리상품권으로 혜택을 받아보세요.
가맹점에서 현금처럼 쓰거나 앱으로 결제할 수 있습니다.","Enjoy discounts at markets with Onnuri Vouchers.
Use paper vouchers like cash or pay via the app.","伝統市場専用の「オンヌリ商品券」がお得です。
現金同様に使うか、アプリで決済してください。","请使用传统市场专用的“温汝利商品券”。
可直接抵扣现金或通过APP便捷支付。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 
-> 시장화폐(온누리화폐)","",""
"","","","스마트관광","","","","","","","","","",""
"61","Photo","M34-H2(1)=1-V1-Fin-down","먼저 착용해보고 싶은 스타일을 선택하세요.  
의상을 고른 후, 사진 촬영 버튼을 눌러주세요","Start by selecting the look you want to try on. Choose your outfit, then press the photo capture button","まず試着してみたいスタイルを選んでください。
衣装を選んだら、「写真撮影」ボタンを押してください
","先選擇想體驗的造型～
挑好服裝後按下拍照鍵！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 촬영버튼","",""
"62","Photo_SelectHanbok","M34-H2(2)=3-V1-Fin-down","카메라를 바라보고 얼굴과 손이 화면의 가이드 원 안에 
들어가도록 맞춰주세요.  모자와 안경을 벗어주세요
","Look at the camera. Keep your face and hands in the guide circles. Remove your hat and glasses.","カメラを見つめて、顔と手が画面のガイド丸の中に入るように合わせてください。帽子やメガネは外してくださいね。","請看鏡頭，將臉和雙手對準螢幕上的指引圈～
請取下帽子和眼鏡喔！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 촬영버튼 -> 의상선택 ","",""
"63","Photo_Creating","M34-H2(2)=3-V1-Fin-down","키오스크 앞에서 잠시만 기다려주세요 
선택하신 옷으로 갈아입고 있어요. 멋찐 모습을 기대하세요~","Please wait a moment. You are changing into the outfit you selected. Look forward to your stylish new look~~~","少々お待ちください。お選びいただいた服に着替えています。
かっこいい姿をお楽しみに~~~","请稍等一下。正在为您更换所选的服装。
敬请期待您的帅气新造型~~~","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 촬영버튼-> 60초대기","",""
"64","Photo_Complete","M34-H2(3)=2-V1-Fin-down"," 핸드폰의 카메라를 켜고 QR 코드를 스캔하시면 
사진을 핸드폰에 바로 저장하실 수 있습니다.","Scan the [QR] code to save your photo directly to your device","スマートフォンで［QR］コードを読み取ると、
写真を自分の携帯に保存できます","掃描 [QR] 碼，即可把照片直接儲存到你的裝置中！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 촬영버튼-> 60초대기 ->결과물저장","",""
"65","HanbokExplain","M19-H2=2-V1-Fin-down","한복은 한국의 역사와 문화가 담긴 전통 의복입니다. 
고유의 아름다움을 직접 AR로 한복을 착장해보세요!","Hanbok is Korea’s traditional attire, loved for its beauty. Try it on with AR and feel the culture!","韓服（ハンボク）は韓国の歴史と文化が息づく伝統衣装。
美しいデザインは世界中で愛されています。ARで試着してみましょう！","韓服是蘊含韓國歷史與文化的傳統服飾，
獨特之美深受全球喜愛～現在用AR來體驗看看吧！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 한복설명","",""
"66","Toilet","M23-A-(2)=3-V1-Fin-down","여기 오색시장의 공용 화장실입니다. 
[QR] 코드를 스캔하면 자세한 길 안내를 받을 수 있어요.","This is the public restroom at Osaek Market.
Scan the [QR] code for directions.","ここは五色市場の共用トイレです。
[QR]コードをスキャンすると道案内が見られます。","这里是五色市场的公共厕所。
扫描[QR]码即可获取详细路线。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 화장실/흡연구역 ","",""
"67","Weather_Sunny","M29-A-(1)=2-V1-Fin-down","오늘 오색시장은  날씨가 너무 너무 화창하고 맑아요 
기분도 너무 좋은데 여러분도 신나는 시장을 즐겨보세세요 ","It’s a bright and sunny day in Insa-dong!
Insa is feeling great—come enjoy the fun vibes too!","インサドンは今日も晴れて気持ちいいです！
インサも元気なので、ぜひ遊びに来てください！","今天仁寺洞阳光明媚！
Insa心情很好，欢迎大家来玩！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","","",""
"68","Weather_Rain","M29-A-(2)=3-V1-Fin-down","오늘은 오색시장 날씨가 비(눈)이 내린다고 해요 
우산 꼭 챙기시고요. 비가와도 운치있는 시장을 즐겨보세요~","It’s rainy(or snowy) in Insadong today. Don’t forget 
your umbrella! Enjoy the charming Insadong even in rain.","今日は仁寺洞で雨（または雪）が降ります。傘を忘れずに。
雨でも風情ある仁寺洞を楽しんで！","今天仁寺洞下雨（或下雪）。
记得带伞！雨中也能享受仁寺洞的韵味哦。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","","",""
"69","Weather_Cold","M29-A-(3)=3-V1-Fin-down","오늘은 오색시장의 날씨가 아주춥다고 해요 (추워요ㅜㅜ)
옷을 따뜻하게 입고 시장에서 따뜻한 차한잔 어떨까요?","Insadong is really cold today (so chilly! ㅠㅠ). 
Dress warmly and enjoy a hot tea there!","仁寺洞は今日はとても寒いです（寒い！ㅜㅜ）
暖かくして温かいお茶をどうぞ！","听说明洞今天很冷（太冷了ㅜㅜ），
穿暖点，去喝杯热茶吧！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","","",""
