"제주=데이터(공항상점리스트) ShopID ","NO ","ShopName_Kr Default","ShopName_En Default","ShopName_Jp Default","ShopName_Ch Default","ShopName_Vn Default","ShopName_Th Default","ShopName_Ru Default","ShopName_Id Default","BaseCategory_Kr Default","BaseCategory_En Default","BaseCategory_Jp Default","BaseCategory_Ch Default","BaseCategory_Vn Default","BaseCategory_Th Default","BaseCategory_Ru Default","BaseCategory_Id Default","Location_Kr Default","Location_En Default","Location_Jp Default","Location_Ch Default","Location_Vn Default","Location_Th Default","Location_Ru Default","Location_Id Default","OpeningHours_Kr Default","PhoneNumber_Kr Default","MainProduct_Kr Default","MainProduct_En Default","MainProduct_Jp Default","MainProduct_Ch Default","MainProduct_Vn Default","MainProduct_Th Default","MainProduct_Ru Default","MainProduct_Id Default"
"30","제주국제공항=국내선=30","아시아나항공라운지","Asiana Airlines Lounge","Asiana Airlines ラウンジ","Asiana Airlines 贵宾室","Asiana Airlines Phòng chờ","Asiana Airlines เลานจ์","Asiana Airlines Лаунж","Asiana Airlines Lounge","라운지・휴식","Lounge·Rest","ラウンジ／休憩","贵宾室·休息","Phòng chờ·Nghỉ ngơi","เลานจ์·พักผ่อน","Лаунж·Отдых","Lounge·Istirahat","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","1588-8000","항공권 라운지","Airline lounge","航空会社ラウンジ","航空公司贵宾室","Phòng chờ hãng hàng không","ห้องรับรองสายการบิน","Зал ожидания авиакомпании","Lounge maskapai"
"31","제주국제공항=국내선=31","아워홈 푸드엠파이어(푸드코트)","Ourhome Food Empire (Food Court)","Ourhome Food Empire （フードコート）","Ourhome Food Empire （美食广场）","Ourhome Food Empire (Khu ẩm thực)","Ourhome Food Empire (ศูนย์อาหาร)","Ourhome Food Empire (Фуд-корт)","Ourhome Food Empire (Pusat Kuliner)","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 22:00","064-749-7111","온담국수, 제주리 식탁 , 단정솥밥 등","Ondam Noodles, Jejuri Table, Danjeong Pot Rice, etc.","オンダム麺、チェジュリ食卓、タンジョン釜飯など","Ondam面、Jejuri餐桌、Danjeong锅饭等","Mì Ondam, Jejuri Table, cơm niêu Danjeong, v.v.","บะหมี่ Ondam, Jejuri Table, ข้าวหม้อ Danjeong ฯลฯ","Лапша Ondam, Jejuri Table, рис в горшочке Danjeong и др.","Mi Ondam, Jejuri Table, nasi panci Danjeong, dll."
"32","제주국제공항=국내선=32","아워홈 푸디움(달콤커피)","Ourhome Foodium (dal.komm Coffee)","Ourhome Foodium (dal.komm Coffee)","Ourhome Foodium (dal.komm Coffee)","Ourhome Foodium (dal.komm Coffee)","Ourhome Foodium (dal.komm Coffee)","Ourhome Foodium (dal.komm Coffee)","Ourhome Foodium (dal.komm Coffee)","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 21:30","064-749-7111","큐브, 커피, 에이드 등 음료 및 디저트","Cube desserts, coffee, ade and other beverages, and desserts","キューブ、コーヒー、エイドなどのドリンク、デザート","方块甜点、咖啡、果味饮料等饮品及甜点","Món cube, cà phê, ade và các loại đồ uống khác, món tráng miệng","ของหวานคิวบ์ กาแฟ เครื่องดื่มเอดและเครื่องดื่มอื่น ๆ รวมถึงของหวาน","Десерты Cube, кофе, фруктовые напитки и другие напитки, десерты","Dessert cube, kopi, minuman ade dan minuman lainnya, serta hidangan penutup"
"33","제주국제공항=국내선=33","아워홈 푸디움(돌랑돌랑상점)","Ourhome Foodium (Dolang Dolang Shop)","Ourhome Foodium (Dolang Dolang Shop)","Ourhome Foodium (Dolang Dolang Shop)","Ourhome Foodium (Dolang Dolang Shop)","Ourhome Foodium (Dolang Dolang Shop)","Ourhome Foodium (Dolang Dolang Shop)","Ourhome Foodium (Dolang Dolang Shop)","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 21:30","064-749-7111","땅콩크림라떼, 커피, 에이드 외 음료, 디저트","Peanut cream latte, coffee, ade and other beverages, desserts","ピーナッツクリームラテ、コーヒー、エイドなどのドリンク、デザート","花生奶油拿铁、咖啡、果味饮料等饮品及甜点","Latte kem đậu phộng, cà phê, ade và các loại đồ uống khác, món tráng miệng","พีนัตครีมลาเต้ กาแฟ เครื่องดื่มเอดและเครื่องดื่มอื่น ๆ รวมถึงของหวาน","Латте с арахисовым кремом, кофе, фруктовые и другие напитки, десерты","Latte krim kacang, kopi, minuman ade dan minuman lainnya, serta hidangan penutup"
"34","제주국제공항=국내선=34","에그드랍","EGGDROP","EGGDROP","EGGDROP","EGGDROP","EGGDROP","EGGDROP","EGGDROP","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 21:30","064-743-0067","아메리칸 햄앤 치즈 등 토스트류 및 음료","American Ham & Cheese and other toast sandwiches, and beverages","アメリカンハム＆チーズなどのトースト、ドリンク","美式火腿芝士等吐司及饮品","Toast American Ham & Cheese và các loại toast khác, đồ uống","อเมริกันแฮมแอนด์ชีสและเมนูโทสต์อื่น ๆ พร้อมเครื่องดื่ม","Тосты American Ham & Cheese и другие тосты, напитки","American Ham & Cheese dan roti panggang lainnya, serta minuman"
"35","제주국제공항=국내선=35","에어로케이","Aero K","Aero K","Aero K","Aero K","Aero K","Aero K","Aero K","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-797-2695","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"36","제주국제공항=국내선=36","에어부산","Air Busan","Air Busan","Air Busan","Air Busan","Air Busan","Air Busan","Air Busan","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-800-6502","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"37","제주국제공항=국내선=37","에어부산(발권카운터)","Air Busan (Ticketing Counter)","Air Busan （発券カウンター）","Air Busan （售票柜台）","Air Busan (Quầy vé)","Air Busan (เคาน์เตอร์ออกตั๋ว)","Air Busan (Касса)","Air Busan (Konter Tiket)","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-800-6502","항공권 구매","Air ticket purchase","航空券購入","购买机票","Mua vé máy bay","ซื้อตั๋วเครื่องบิน","Покупка авиабилетов","Pembelian tiket pesawat"
"38","제주국제공항=국내선=38","에어서울","Air Seoul","Air Seoul","Air Seoul","Air Seoul","Air Seoul","Air Seoul","Air Seoul","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-711-8131","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"39","제주국제공항=국내선=39","엔제리너스 커피","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","Angel-in-us Coffee","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:30 ~ 21:30","064-712-9771","커피, 에이드 등 음료 및 샌드위치","Coffee, ade and other beverages, and sandwiches","コーヒー、エイドなどのドリンク、サンドイッチ","咖啡、果味饮料等饮品及三明治","Cà phê, ade và các loại đồ uống khác, bánh sandwich","กาแฟ เครื่องดื่มเอดและเครื่องดื่มอื่น ๆ รวมถึงแซนด์วิช","Кофе, фруктовые напитки и другие напитки, сэндвичи","Kopi, minuman ade dan minuman lainnya, serta sandwich"
"40","제주국제공항=국내선=40","와우패스","WOWPASS","WOWPASS","WOWPASS","WOWPASS","WOWPASS","WOWPASS","WOWPASS","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","05:00 ~ 23:00","1833-5508","선불카드 및 교통카드 충전","Prepaid card and transit card top-up","プリペイドカード·交通カードのチャージ","预付卡及交通卡充值","Nạp thẻ trả trước và thẻ giao thông","เติมเงินบัตรเติมเงินและบัตรโดยสาร","Пополнение предоплаченных и транспортных карт","Isi ulang kartu prabayar dan kartu transportasi"
"41","제주국제공항=국내선=41","와우패스","WOWPASS","WOWPASS","WOWPASS","WOWPASS","WOWPASS","WOWPASS","WOWPASS","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","05:00 ~ 23:00","1833-5508","선불카드 및 교통카드 충전","Prepaid card and transit card top-up","プリペイドカード·交通カードのチャージ","预付卡及交通卡充值","Nạp thẻ trả trước và thẻ giao thông","เติมเงินบัตรเติมเงินและบัตรโดยสาร","Пополнение предоплаченных и транспортных карт","Isi ulang kartu prabayar dan kartu transportasi"
"42","제주국제공항=국내선=42","우무","Umu","Umu","Umu","Umu","Umu","Umu","Umu","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","08:00 ~ 20:30","010-2691-0064","푸딩","Pudding","プリン","布丁","Pudding","พุดดิ้ง","Пудинг","Puding"
"43","제주국제공항=국내선=43","우편취급국","Postal Agency","郵便取扱所","邮政服务处","Điểm dịch vụ bưu chính","จุดบริการไปรษณีย์","Почтовое отделение","Loket Pos","안내・관광・호텔","Information·Tourism·Hotel","案内／観光／ホテル","咨询·旅游·酒店","Thông tin·Du lịch·Khách sạn","ข้อมูล·ท่องเที่ยว·โรงแรม","Информация·Туризм·Отель","Informasi·Pariwisata·Hotel","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","09:00 ~ 18:00","064-724-7212","택배 및 우편 발송","Parcel and postal services","宅配·郵便発送","快递及邮寄服务","Gửi bưu kiện và thư","บริการส่งพัสดุและไปรษณีย์","Отправка посылок и почты","Pengiriman paket dan pos"
"44","제주국제공항=국내선=44","유실물관리센터","Lost and Found Center","遺失物管理センター","失物招领中心","Trung tâm đồ thất lạc","ศูนย์ของหาย","Бюро находок","Pusat Barang Hilang","안내・관광・호텔","Information·Tourism·Hotel","案内／観光／ホテル","咨询·旅游·酒店","Thông tin·Du lịch·Khách sạn","ข้อมูล·ท่องเที่ยว·โรงแรม","Информация·Туризм·Отель","Informasi·Pariwisata·Hotel","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","06:30 ~ 21:30","064-797-2521","유실물 관리","Lost property management","遺失物管理","失物管理","Quản lý đồ thất lạc","จัดการของหาย","Работа с потерянными вещами","Pengelolaan barang hilang"
"45","제주국제공항=국내선=45","이스타항공","Eastar Jet","Eastar Jet","Eastar Jet","Eastar Jet","Eastar Jet","Eastar Jet","Eastar Jet","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-797-2851","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"46","제주국제공항=국내선=46","이제주섬","eJeju Island","eJeju Island","eJeju Island","eJeju Island","eJeju Island","eJeju Island","eJeju Island","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 21:00","064-748-8355","젓갈류, 흑돼지 등 제주 특산물","Jeju specialties such as salted seafood and black pork","塩辛、黒豚などの済州特産品","腌制海鲜、黑猪肉等济州特产","Đặc sản Jeju như hải sản muối và thịt heo đen","ของขึ้นชื่อเชจู เช่น อาหารทะเลหมักและหมูดำ","Специалитеты Чеджу: солёные морепродукты, чёрная свинина и др.","Produk khas Jeju seperti seafood asin dan daging babi hitam"
"47","제주국제공항=국내선=47","인생네컷","Life4Cuts","Life4Cuts","Life4Cuts","Life4Cuts","Life4Cuts","Life4Cuts","Life4Cuts","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 22:00","1833-7970","즉석포토","Instant photo","インスタントフォト","即时拍照","Ảnh lấy ngay","ถ่ายภาพด่วน","Мгновенное фото","Foto instan"
"48","제주국제공항=국내선=48","자치경찰단","Autonomous Police","自治警察団","自治警察队","Cảnh sát tự trị","หน่วยตำรวจปกครองตนเอง","Автономная полиция","Polisi Otonom","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","06:00 ~ 23:00","064-797-2272","자치경찰단 업무 수행","Autonomous police services","自治警察業務","自治警察业务","Dịch vụ cảnh sát tự trị","บริการของตำรวจปกครองตนเอง","Услуги автономной полиции","Layanan polisi otonom"
"49","제주국제공항=국내선=49","잠바","Jamba","Jamba","Jamba","Jamba","Jamba","Jamba","Jamba","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","05:30 ~ 21:00","064-745-8944","커피, 과일 스무디, 샐러드, 샌드위치 등","Coffee, fruit smoothies, salads, sandwiches, etc.","コーヒー、フルーツスムージー、サラダ、サンドイッチなど","咖啡、水果冰沙、沙拉、三明治等","Cà phê, sinh tố trái cây, salad, bánh sandwich, v.v.","กาแฟ สมูทตี้ผลไม้ สลัด แซนด์วิช ฯลฯ","Кофе, фруктовые смузи, салаты, сэндвичи и др.","Kopi, smoothie buah, salad, sandwich, dll."
"50","제주국제공항=국내선=50","제주관광협회 종합안내센터","Jeju Tourism Association Information Center","済州観光協会 総合案内センター","济州旅游协会综合咨询中心","Trung tâm thông tin tổng hợp Hiệp hội Du lịch Jeju","ศูนย์ข้อมูลรวมสมาคมการท่องเที่ยวเชจู","Информационный центр Туристической ассоциации Чеджу","Pusat Informasi Asosiasi Pariwisata Jeju","안내・관광・호텔","Information·Tourism·Hotel","案内／観光／ホテル","咨询·旅游·酒店","Thông tin·Du lịch·Khách sạn","ข้อมูล·ท่องเที่ยว·โรงแรม","Информация·Туризм·Отель","Informasi·Pariwisata·Hotel","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 22:00","064-742-8866","제주관광협회 종합안내센터","Jeju Tourism Association Information Center","済州観光協会 総合案内センター","济州旅游协会综合咨询中心","Trung tâm thông tin tổng hợp Hiệp hội Du lịch Jeju","ศูนย์ข้อมูลรวมสมาคมการท่องเที่ยวเชจู","Информационный центр Туристической ассоциации Чеджу","Pusat Informasi Asosiasi Pariwisata Jeju"
"51","제주국제공항=국내선=51","제주올레","Jeju Olle","済州オルレ","济州偶来","Jeju Olle","เชจู ออลเล","Jeju Olle","Jeju Olle","안내・관광・호텔","Information·Tourism·Hotel","案内／観光／ホテル","咨询·旅游·酒店","Thông tin·Du lịch·Khách sạn","ข้อมูล·ท่องเที่ยว·โรงแรม","Информация·Туризм·Отель","Informasi·Pariwisata·Hotel","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","08:00 ~ 21:00","070-4135-2190","Tour Information","Tour Information","観光案内","旅游信息","Thông tin du lịch","ข้อมูลการท่องเที่ยว","Туристическая информация","Informasi Wisata"
"52","제주국제공항=국내선=52","제주은행","Jeju Bank","済州銀行","济州银行","Ngân hàng Jeju","ธนาคารเชจู","Банк Чеджу","Jeju Bank","금융・보험・환전","Finance·Insurance·Currency Exchange","金融／保険／両替","金融·保险·货币兑换","Tài chính·Bảo hiểm·Đổi tiền","การเงิน·ประกัน·แลกเปลี่ยนเงินตรา","Финансы·Страхование·Обмен валют","Keuangan·Asuransi·Penukaran mata uang","1F 면세","1F Duty-Free Area","1階 免税エリア","1楼 免税区","Tầng 1 Khu miễn thuế","ชั้น 1 พื้นที่ปลอดภาษี","1-й этаж, зона Duty Free","Lantai 1 Area Bebas Bea","09:00 ~ 16:00","064-720-0412","제주은행","Jeju Bank","済州銀行","济州银行","Ngân hàng Jeju","ธนาคารเชจู","Банк Чеджу","Jeju Bank"
"53","제주국제공항=국내선=53","제주항공","Jeju Air","Jeju Air","Jeju Air","Jeju Air","Jeju Air","Jeju Air","Jeju Air","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-797-2822","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"54","제주국제공항=국내선=54","제주항공(발권카운터)","Jeju Air (Ticketing Counter)","Jeju Air （発券カウンター）","Jeju Air （售票柜台）","Jeju Air (Quầy vé)","Jeju Air (เคาน์เตอร์ออกตั๋ว)","Jeju Air (Касса)","Jeju Air (Konter Tiket)","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-797-2822","항공권 구매","Air ticket purchase","航空券購入","购买机票","Mua vé máy bay","ซื้อตั๋วเครื่องบิน","Покупка авиабилетов","Pembelian tiket pesawat"
"55","제주국제공항=국내선=55","진고복식당(한식당)","Jingobok Restaurant (Korean Restaurant)","Jingobok Restaurant （韓国料理店）","Jingobok Restaurant （韩餐厅）","Jingobok Restaurant (Nhà hàng Hàn Quốc)","Jingobok Restaurant (ร้านอาหารเกาหลี)","Jingobok Restaurant (Корейский ресторан)","Jingobok Restaurant (Restoran Korea)","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","4F 일반","4F Public Area","4階 一般エリア","4楼 公共区域","Tầng 4 Khu công cộng","ชั้น 4 พื้นที่สาธารณะ","4-й этаж, общая зона","Lantai 4 Area Publik","06:30 ~ 21:00","064-712-1517","불고기쌈 반상, 제육볶음쌈 반상 등","Bulgogi wrap set, spicy stir-fried pork wrap set, etc.","プルコギ包み定食、豚肉辛炒め包み定食など","烤肉包菜套餐、辣炒猪肉包菜套餐等","Set bulgogi cuốn rau, set thịt heo xào cay cuốn rau, v.v.","ชุดบูลโกกิห่อผัก ชุดหมูผัดเผ็ดห่อผัก ฯลฯ","Сет с пулькоги и листьями, сет с острой жареной свининой и листьями и др.","Set bulgogi bungkus selada, set babi tumis pedas bungkus selada, dll."
"56","제주국제공항=국내선=56","진에어","Jin Air","Jin Air","Jin Air","Jin Air","Jin Air","Jin Air","Jin Air","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-713-9422","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"57","제주국제공항=국내선=57","진에어(발권카운터)","Jin Air (Ticketing Counter)","Jin Air （発券カウンター）","Jin Air （售票柜台）","Jin Air (Quầy vé)","Jin Air (เคาน์เตอร์ออกตั๋ว)","Jin Air (Касса)","Jin Air (Konter Tiket)","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-713-9422","항공권 구매","Air ticket purchase","航空券購入","购买机票","Mua vé máy bay","ซื้อตั๋วเครื่องบิน","Покупка авиабилетов","Pembelian tiket pesawat"
"58","제주국제공항=국내선=58","카페띠아모","Cafe Tiamo","Cafe Tiamo","Cafe Tiamo","Cafe Tiamo","Cafe Tiamo","Cafe Tiamo","Cafe Tiamo","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","2F 일반","2F Public Area","2階 一般エリア","2楼 公共区域","Tầng 2 Khu công cộng","ชั้น 2 พื้นที่สาธารณะ","2-й этаж, общая зона","Lantai 2 Area Publik","07:00 ~ 21:30","064-748-1919","젤라또","Gelato","ジェラート","意式冰淇淋","Gelato","เจลาโต","Джелато","Gelato"
"59","제주국제공항=국내선=59","카페오가다(2호점)","Cafe O'gada (Branch 2)","Cafe O'gada （2号店）","Cafe O'gada （2号店）","Cafe O'gada (Chi nhánh 2)","Cafe O'gada (สาขา 2)","Cafe O'gada (Филиал 2)","Cafe O'gada (Cabang 2)","카페・디저트","Cafe·Dessert","カフェ／デザート","咖啡厅·甜点","Quán cà phê·Tráng miệng","คาเฟ่·ของหวาน","Кафе·Десерты","Kafe·Hidangan penutup","4F 일반","4F Public Area","4階 一般エリア","4楼 公共区域","Tầng 4 Khu công cộng","ชั้น 4 พื้นที่สาธารณะ","4-й этаж, общая зона","Lantai 4 Area Publik","07:00 ~ 21:30","064-747-2246","커피, 주스, 에이드 등 음료 및 디저트","Coffee, juice, ade and other beverages, and desserts","コーヒー、ジュース、エイドなどのドリンク、デザート","咖啡、果汁、果味饮料等饮品及甜点","Cà phê, nước ép, ade và các loại đồ uống khác, món tráng miệng","กาแฟ น้ำผลไม้ เครื่องดื่มเอดและเครื่องดื่มอื่น ๆ รวมถึงของหวาน","Кофе, соки, фруктовые и другие напитки, десерты","Kopi, jus, minuman ade dan minuman lainnya, serta hidangan penutup"
"60","제주국제공항=국내선=60","탐라렌터카","Tamra Rent-a-Car","耽羅レンタカー","耽罗租车","Thuê xe Tamra","รถเช่าทัมรา","Прокат авто Tamra","Sewa Mobil Tamra","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:20 ~ 18:30","1644-3302","탐라렌터카","Tamra Rent-a-Car","耽羅レンタカー","耽罗租车","Thuê xe Tamra","รถเช่าทัมรา","Прокат авто Tamra","Sewa Mobil Tamra"
"61","제주국제공항=국내선=61","특산품","Local Specialties","特産品","特产","Đặc sản địa phương","สินค้าพิเศษท้องถิ่น","Местные деликатесы и товары","Produk Khas Lokal","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","2F 일반","2F Public Area","2階 一般エリア","2楼 公共区域","Tầng 2 Khu công cộng","ชั้น 2 พื้นที่สาธารณะ","2-й этаж, общая зона","Lantai 2 Area Publik","06:00 ~ 21:30","064-743-2111","제주 기념품","Jeju souvenirs","済州のお土産","济州纪念品","Quà lưu niệm Jeju","ของที่ระลึกเชจู","Сувениры Чеджу","Suvenir Jeju"
