"운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기  NO","Key","VideoFileName","KR","EN","JP","CN","우측상단 서브타이틀 KR","EN","JP","CN","재생조건 재생조건(Condition)","Description","넘버링 NO"
"43","Greeting_Stretching","M=O-Insa=10-3A-04A(Fw)=3-V2-Fin_D","자 우선 손목과 팔목을 풀어볼까요~
다음은 어떄를 시계방향으로 돌려주세요 ","First, loosen your wrists and arms. Next, 
rotate your shoulders clockwise, like this!","まずは手首と腕をゆるめてください。
次に、肩を時計回りに回します。このように！","先活動手腕和手臂～
接著像這樣順時針轉轉你的肩膀！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","","",""
"44","Greeting_Stretching","M=O-Insa=10-4A-04(Fw)=3-V2-Fin_D","다음은 좀더 크게 어깨운동을 해볼거에요 
그리고 팔꿈치가 무릅에 닿을수 있게 양쪽으로 해보세요 ","Now, let’s stretch those shoulders bigger. 
Try to touch your elbows to your knees on both sides!","では、肩を大きくストレッチしましょう。
両側の肘を膝にタッチするようにしてみてください！","現在來個大動作～試試讓手肘碰到膝蓋，
左右兩邊都來一次！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","","",""
"45","Greeting_Stretching","M=O-Insa=10-2A-04A(Fw)=6-V2-Fin_D","모두 너무 열심히 잘 따라서 해주셨어요~최고에요 
이제 다시 인사동의 다양한 장소를 여행해보세요 ^^","Great job following along—awesome! Now, 
let’s get back to exploring Insadong’s gems! ^^","よくできましたね—素晴らしい！
それでは、また仁寺洞の魅力を探しに戻りましょう！^^","做得太棒了～你超厲害！
現在一起回到仁寺洞繼續發現驚喜吧！^^","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","","",""
"46","ToHelp","M=Hanbok05=8-1C-11=5-V5-Fin-D","도움이 필요하시거나 필수 서비스를 찾고 계신가요? 
제가 도와드릴 수 있는 것을 알려주세요","Need assistance or looking for essential services?
Let me know how I can help","お困りのことや必要なサービスをお探しですか？
私にできることがあれば、教えてくださいね！","需要帮助或在找重要服务吗？
告诉我你需要什么，我来帮你！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 도와줘인사-> 카테고리선택 ","",""
"47","ToHelp_Category","M=Hanbok05=8-2C-11=4-V5-Fin-D","필요한신 내용을 클릭하시면 더욱 상세한 정보를 얻으실 수 있어요. ","Click on the information you need to get more detailed details.","必要な情報をクリックすると、
さらに詳しい情報を得ることができます。","点击所需的内容，您可以获取更详细的信息。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 도와줘인사-> 카테고리선택  1","",""
"48","ToHelp_Detail","M=Hanbok05=8-4C-11=1-V5-Fin-D","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the [QR] code with your phone to 
receive detailed directions
","スマートフォンで［QR］コードを読み取れば、
道案内を受けることができますよ。","用手机扫描 [QR] 码即可获取详细路线指引。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 도와줘인사-> 카테고리선택 -> 상세검색","",""
"49","Map","M=Hanbok03=15.1C-08=1-V11-Fin-D","즐거운 추억이 될 쇼핑 아이템들을 찾으시나요?
인사동에는 다양한 전통문화 상점들이 있어요.","Explore the map for a quick overview. For tailored recommendations, try the AI course or search by category.","地図で全体をサッと確認。自分に合ったおすすめはAIコースやカテゴリー検索を使ってみてください。","通过地图快速了解周边。想获取个性化推荐？试试AI路线或按类别搜索吧。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 지도","",""
"50","Exchange","M=Hanbok05=22-1-11=2-V5-Fin-D","오늘자 환율 정보입니다. 주변은행에서 환전이 가능해요. 
검색기능을 통해 주변 은행을 검색해 보세요 ","Here is today's exchange rate information. 
Use the search function to find nearby banks.","今日の為替レート情報です。
近くの銀行で両替が可能です。","这是今天的汇率信息。您可以在附近的银行进行兑换。
请通过搜索功能查找周围的银行。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 환율","",""
"51","Transport","M=hanbok01=6.1-02=4-V4-fin","인사동의 지도와 교통편을 확인해보세요 
키오스트가 설치된 곳을 확인하고 이용해보세요 ","Check the map and transportation options in Insadong.","仁寺洞の地図と交通手段を確認してください。
キオスクが設置されている場所を確認してご利用ください","查看仁寺洞的地图和交通信息。","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 교통안내","",""
"52","Transport_Category","M=hanbok01=6.2-02=3-V4-fin","종로구에서 만든 '종로픽'을 통해서 주차장을 이용해보세요 ","Find where the kiosks are installed and give them a try.","鍾路区が作った『鍾路ピック』を使って駐車場をご利用ください","查询自助机位置，方便使用体验。","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 교통안내 -> 주차정보 ","",""
"53","Transport_Detail","M=hanbok01=6.3-02=1-V4-fin","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the [QR] code with your phone to 
receive detailed directions","スマートフォンで［QR］コードを読み取れば、
道案内も受けられますよ","用手機掃描 [QR] 碼，即可獲得詳細路線指引！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","","",""
"54","ToStay","M=hanbok01=6.1-02=4-V4-fin","편안한 숙소를 찾고 계신가요?
인사동 주변의 호텔, 한옥, 게스트하우스를 확인해보세요!","Looking for a comfy stay? Browse hotels, guesthouses, and hanok stays near Insadong!","快適な宿をお探しですか？
インサドン周辺のホテルや韓屋宿をチェックしてみてください！","想找舒適的住宿嗎？
仁寺洞附近有飯店、韓屋、民宿等你選擇！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 숙박안내","",""
"55","ToStay_Category","M=hanbok01=6.2-02=3-V4-fin","어디서 머물지 고민되시나요? 인사가 숙소 추천해드릴게요!
숙소를 눌러 자세한 정보를 확인하세요.","Looking for a place to stay? Check out my recommended categories! Tap on a listing for more details.","どこに泊まるか迷ったら？おすすめ宿泊カテゴリをチェック！
宿泊先をタップすると詳細が見られます。","不知道住哪裡好？看看我推薦的住宿分類吧！
點選住宿可查看詳細資訊。","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 숙박안내 ->카테고리선택 ","",""
"56","ToStay_Detail","M=hanbok01=6.3-02=1-V4-fin","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the QR code with
 your phone for directions to get there.","QRコードをスマホで読み取ると目的地までの行き方が表示されます","用手機掃描QR碼，輕鬆獲取到店路線指引。","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 숙박안내 ->카테고리선택 ->상세검색","",""
"57","Palace","M=Hanbok02=12.1-05=5-V11-Fin-D","인사동 근처엔 고궁이 많아요! 경복궁, 창덕궁, 창경궁, 덕수궁을 한복과 함께 즐겨보세요.","Royal palaces like Gyeongbokgung, Changdeokgung, Changgyeonggung, and Deoksugung await near Insadong!","インサドン近くの景福宮・昌徳宮・昌慶宮・徳寿宮を、韓服体験と一緒に楽しんでみませんか？","仁寺洞附近有景福宫、昌德宫、昌庆宫、德寿宫，换上韩服，一起探索韩国古宫之美！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 고궁안내","",""
"58","Palace_Detail","M=Hanbok02=12.2-05=1-V11-Fin-D","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the QR code with
 your phone for directions to get there.","QRコードをスマホで読み取ると目的地までの行き方が表示されます","用手機掃描QR碼，輕鬆獲取到店路線指引。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 고궁안내 ->카테고리선택 ->상세검색","",""
"59","Mission","M=hanbok01=5.1-02=2-V4-fin","미션 기능 준비 중이에요! 곧 인사동의 재미있는 문화 미션을 만나보세요.","Missions feature coming soon. Stay tuned for fun cultural quests in Insadong!","ミッション機能は準備中です！インサドンの楽しい文化体験をお楽しみに。

","任务功能准备中！敬请期待仁寺洞的有趣文化任务。

","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 인사동미션","",""
"60","Photo","M=Hanbok03=12.1B-08=2-V11-Fin-D","먼저 착용해보고 싶은 스타일을 선택하세요.  
의상을 고른 후, 사진 촬영 버튼을 눌러주세요","Start by selecting the look you want to try on. Choose your outfit, then press the photo capture button","まず試着してみたいスタイルを選んでください。
衣装を選んだら、「写真撮影」ボタンを押してください
","先選擇想體驗的造型～挑好服裝後按下拍照鍵！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 촬영버튼","",""
"61","Photo_SelectHanbok","M=Hanbok03=12.2B-08=1-V11-Fin-D","카메라를 바라보고 얼굴과 손이 화면의 가이드 원 안에 
들어가도록 맞춰주세요.  모자와 안경을 벗어주세요
","Look at the camera. Keep your face and hands in the guide circles. Remove your hat and glasses.","カメラを見つめて、顔と手が画面のガイド丸の中に入るように合わせてください。帽子やメガネは外してくださいね。","請看鏡頭，將臉和雙手對準螢幕上的指引圈～請取下帽子和眼鏡喔！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 촬영버튼 -> 의상선택 ","",""
"","Photo_Creating","M=Hanbok03=12.2B-08=1-V11-Fin-D","키오스크 앞에서 잠시만 기다려주세요~~
선택하신 옷으로 갈아입고 있어요. 멋진 모습을 기대하세요","Please wait a moment. You are changing into the outfit you selected. Look forward to your stylish new look~~~","少々お待ちください。お選びいただいた服に着替えています。
かっこいい姿をお楽しみに~~~","请稍等一下。正在为您更换所选的服装。
敬请期待您的帅气新造型~~~","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 촬영버튼-> 60초대기","",""
"","Photo_Creating","M=Hanbok03=12.2B-08=1-V11-Fin-D","키오스크 앞에서 잠시만 기다려주세요~~
선택하신 옷으로 갈아입고 있어요. 멋진 모습을 기대하세요","Please wait a moment. You are changing into the outfit you selected. Look forward to your stylish new look~~~","少々お待ちください。お選びいただいた服に着替えています。
かっこいい姿をお楽しみに~~~","请稍等一下。正在为您更换所选的服装。
敬请期待您的帅气新造型~~~","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 촬영버튼-> 60초대기","",""
"","Photo_Creating","M=Hanbok03=12.2B-08=1-V11-Fin-D","키오스크 앞에서 잠시만 기다려주세요~~
선택하신 옷으로 갈아입고 있어요. 멋진 모습을 기대하세요","Please wait a moment. You are changing into the outfit you selected. Look forward to your stylish new look~~~","少々お待ちください。お選びいただいた服に着替えています。
かっこいい姿をお楽しみに~~~","请稍等一下。正在为您更换所选的服装。
敬请期待您的帅气新造型~~~","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 촬영버튼-> 60초대기","",""
"63","Photo_Complete","M=Hanbok03=12.3B-08=2-V11-Fin-D"," 의상을 입은 사진이 나오면 저장하기 버튼을 눌러주세요 
QR 코드를 스캔하시면 사진을 기기에 바로 저장하실 수 있습니다.","When your photo appears, press Save.
Scan the QR code to download it.","衣装の写真が出たら保存ボタンを押してください。
QRコードをスキャンすると端末に保存できます。

","当穿着服装的照片出现时，请点击保存按钮。
扫描二维码即可将照片直接保存到您的设备。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 촬영버튼-> 60초대기 ->결과물저장","",""
"64","HanbokExplain","M=Hanbok02=11-05=3-V11-Fin-D","한복은 한국의 역사와 문화가 담긴 전통 의복입니다. 
고유의 아름다움을 직접 AR로 한복을 착장해보세요!","Hanbok is a traditional Korean attire 
with history and culture. Try it on in AR!

","韓服は韓国の歴史と文化を持つ伝統衣装です。
ARで着てみましょう！

","韩服是承载韩国历史与文化的传统服饰。
快用AR试穿吧！

","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 한복설명","",""
"65","Toilet","M=Hanbok05=8-3C-11=2-V5-Fin-D","여기 지정된 화장실/ 흡연 구역입니다. 
휴대폰으로 [QR] 코드를 스캔하면 길 안내를 받을 수 있어요.
","Here are the smoking areas. Scan the QR code on your phone to get detailed directions.","こちらが指定された喫煙エリアです。スマートフォンで［QR］
コードをスキャンすると、詳しい道案内が表示されます。
","这里是指定吸烟区。
用手机扫描 [QR] 码获取详细导航。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 화장실/흡연구역 ","",""
"66","Weather_Sunny","M=hanbok01=7.2-02=1-V4-fin","오늘 인사동의 날씨는 너무 너무 화창하고 맑아요 
인사의 기분도 너무 좋은데 여러분도 신나는 인사동을 즐겨보세세요 ","It’s a bright and sunny day in Insa-dong!
Insa is feeling great—come enjoy the fun vibes too!","インサドンは今日も晴れて気持ちいいです！
インサも元気なので、ぜひ遊びに来てください！","今天仁寺洞阳光明媚！
Insa心情很好，欢迎大家来玩！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","","",""
"67","Weather_Rain","M=hanbok01=7.2-02=1-V4-fin","오늘은 인사동의 날씨가 비(눈)이 내린다고 해요 
우산 꼭 챙기시고요. 비가와도 운치있는 인사동을 즐겨보세요~","It’s rainy(or snowy) in Insadong today. Don’t forget 
your umbrella! Enjoy the charming Insadong even in rain.","今日は仁寺洞で雨（または雪）が降ります。傘を忘れずに。
雨でも風情ある仁寺洞を楽しんで！","今天仁寺洞下雨（或下雪）。
记得带伞！雨中也能享受仁寺洞的韵味哦。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","","",""
"68","Weather_Cold","M=hanbok01=7.2-02=1-V4-fin","오늘은 인사동의 날씨가 아주춥다고 해요 (너무 추워요ㅜㅜ)
옷을 따뜻하게 입고 인사동에서 따뜻한 차한잔 어떨까요?","Insadong is really cold today (so chilly! ㅠㅠ). 
Dress warmly and enjoy a hot tea there!","仁寺洞は今日はとても寒いです（寒い！ㅜㅜ）
暖かくして温かいお茶をどうぞ！","听说明洞今天很冷（太冷了ㅜㅜ），
穿暖点，去喝杯热茶吧！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","","",""
