"넘버링운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기 ","","","","","언어","","","","언어","","","","우측상단 서브타이틀","","","","우측상단 서브타이틀","","","","재생조건","설명","","",""
"03","ChangeLanguage_EN","GYULI=Language-EN","","","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 영어로 키오스크를 이용해보세요","WIT AI SMART KIOSK supports multiple languages.
Use the kiosk in English from now on.","WIT AI SMART KIOSKは多言語に対応しています。
これから英語でご利用ください。","WIT AI SMART KIOSK支持多种语言。
现在开始请用英语使用自助机。","WIT AI SMART KIOSK hỗ trợ nhiều ngôn ngữ.
Hãy dùng kiosk bằng tiếng Anh nhé.","WIT AI SMART KIOSK mendukung banyak bahasa.
Gunakan kiosk dalam bahasa Inggris mulai sekarang.","WIT AI SMART KIOSK รองรับหลายภาษา
ใช้งานคีออสก์เป็นภาษาอังกฤษได้เลยค่ะ","WIT AI SMART KIOSK поддерживает много языков.
Пользуйтесь киоском на английском.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 언어선택 -> 영어","[키: ChangeLanguage_EN] 영어 선택 직후 1회 재생. 기존 문구 그대로.","","",""
"03","ChangeLanguage_JP","GYULI=Language-JP","","","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 일본어로 키오스크를 이용해보세요","WIT AI SMART KIOSK supports multiple languages.
Use the kiosk in Japanese from now on.","WIT AI SMART KIOSKは多言語に対応しています。
これから日本語でご利用ください。","WIT AI SMART KIOSK支持多种语言。
现在开始请用日语使用自助机。","WIT AI SMART KIOSK hỗ trợ nhiều ngôn ngữ.
Hãy dùng kiosk bằng tiếng Nhật nhé.","WIT AI SMART KIOSK mendukung banyak bahasa.
Gunakan kiosk dalam bahasa Jepang mulai sekarang.","WIT AI SMART KIOSK รองรับหลายภาษา
ใช้งานคีออสก์เป็นภาษาญี่ปุ่นได้เลยค่ะ","WIT AI SMART KIOSK поддерживает много языков.
Пользуйтесь киоском на японском.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 언어선택 -> 일본어","[키: ChangeLanguage_JP] 일본어 선택 직후 1회 재생. 기존 문구 그대로.","","",""
"03","ChangeLanguage_CH","GYULI=Language-CN","","","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 중국어로 키오스크를 이용해보세요","WIT AI SMART KIOSK supports multiple languages.
Use the kiosk in Chinese from now on.","WIT AI SMART KIOSKは多言語に対応しています。
これから中国語でご利用ください。","WIT AI SMART KIOSK支持多种语言。
现在开始请用中文使用自助机。","WIT AI SMART KIOSK hỗ trợ nhiều ngôn ngữ.
Hãy dùng kiosk bằng tiếng Trung nhé.","WIT AI SMART KIOSK mendukung banyak bahasa.
Gunakan kiosk dalam bahasa Mandarin mulai sekarang.","WIT AI SMART KIOSK รองรับหลายภาษา
ใช้งานคีออสก์เป็นภาษาจีนได้เลยค่ะ","WIT AI SMART KIOSK поддерживает много языков.
Пользуйтесь киоском на китайском.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 언어선택 -> 중국어","[키: ChangeLanguage_CH] 중국어 선택 직후 1회 재생. 기존 문구 그대로.","","",""
"03","ChangeLanguage_VN","GYULI=Language-VN","","","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 베트남어로 키오스크를 이용해보세요","WIT AI SMART KIOSK supports multiple languages.
Use the kiosk in Vietnamese from now on.","WIT AI SMART KIOSKは多言語に対応しています。
これからベトナム語でご利用ください。","WIT AI SMART KIOSK支持多种语言。
现在开始请用越南语使用自助机。","WIT AI SMART KIOSK hỗ trợ nhiều ngôn ngữ.
Hãy dùng kiosk bằng tiếng Việt nhé.","WIT AI SMART KIOSK mendukung banyak bahasa.
Gunakan kiosk dalam bahasa Vietnam mulai sekarang.","WIT AI SMART KIOSK รองรับหลายภาษา
ใช้งานคีออสก์เป็นภาษาเวียดนามได้เลยค่ะ","WIT AI SMART KIOSK поддерживает много языков.
Пользуйтесь киоском на вьетнамском.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 언어선택 -> 베트남어","[키: ChangeLanguage_VN] 베트남어 선택 직후 1회 재생. 기존 문구 그대로.","","",""
"03","ChangeLanguage_ID","GYULI=Language-ID","","","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 인도네시아어로 키오스크를 이용해보세요","WIT AI SMART KIOSK supports multiple languages.
Use the kiosk in Indonesian from now on.","WIT AI SMART KIOSKは多言語に対応しています。
これからインドネシア語でご利用ください。","WIT AI SMART KIOSK支持多种语言。
现在开始请用印尼语使用自助机。","WIT AI SMART KIOSK hỗ trợ nhiều ngôn ngữ.
Hãy dùng kiosk bằng tiếng Indonesia nhé.","WIT AI SMART KIOSK mendukung banyak bahasa.
Gunakan kiosk dalam bahasa Indonesia mulai sekarang.","WIT AI SMART KIOSK รองรับหลายภาษา
ใช้งานคีออสก์เป็นภาษาอินโดนีเซียได้เลยค่ะ","WIT AI SMART KIOSK поддерживает много языков.
Пользуйтесь киоском на индонезийском.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 언어선택 -> 인도네시아어","[키: ChangeLanguage_ID] 인도네시아어 선택 직후 1회 재생. 기존 문구 그대로.","","",""
"03","ChangeLanguage_TH","GYULI=Language-TH","","","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 태국어로 키오스크를 이용해보세요","WIT AI SMART KIOSK supports multiple languages.
Use the kiosk in Thai from now on.","WIT AI SMART KIOSKは多言語に対応しています。
これからタイ語でご利用ください。","WIT AI SMART KIOSK支持多种语言。
现在开始请用泰语使用自助机。","WIT AI SMART KIOSK hỗ trợ nhiều ngôn ngữ.
Hãy dùng kiosk bằng tiếng Thái nhé.","WIT AI SMART KIOSK mendukung banyak bahasa.
Gunakan kiosk dalam bahasa Thai mulai sekarang.","WIT AI SMART KIOSK รองรับหลายภาษา
ใช้งานคีออสก์เป็นภาษาไทยได้เลยค่ะ","WIT AI SMART KIOSK поддерживает много языков.
Пользуйтесь киоском на тайском.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 언어선택 -> 태국어","[키: ChangeLanguage_TH] 태국어 선택 직후 1회 재생. 기존 문구 그대로.","","",""
"03","ChangeLanguage_RU","GYULI=Language-RU","","","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 러시아어로 키오스크를 이용해보세요","WIT AI SMART KIOSK supports multiple languages.
Use the kiosk in Russian from now on.","WIT AI SMART KIOSKは多言語に対応しています。
これからロシア語でご利用ください。","WIT AI SMART KIOSK支持多种语言。
现在开始请用俄语使用自助机。","WIT AI SMART KIOSK hỗ trợ nhiều ngôn ngữ.
Hãy dùng kiosk bằng tiếng Nga nhé.","WIT AI SMART KIOSK mendukung banyak bahasa.
Gunakan kiosk dalam bahasa Rusia mulai sekarang.","WIT AI SMART KIOSK รองรับหลายภาษา
ใช้งานคีออสก์เป็นภาษารัสเซียได้เลยค่ะ","WIT AI SMART KIOSK поддерживает много языков.
Пользуйтесь киоском на русском.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 언어선택 -> 러시아어","[키: ChangeLanguage_RU] 러시아어 선택 직후 1회 재생. 기존 문구 그대로.","","",""
"04","AISearch-1","GYULI=AISearch-1","","","안녕하세요 '귤이'에요~ 인원과 시간을 알려주시면
AI가 딱 맞는 제주 추천 코스를 안내해 드려요.","Hi, I'm Gyuli! Tell me your group size and time,
and AI will suggest the perfect Jeju course.","こんにちは、ギュリです〜 人数と時間を教えてください。
AIがぴったりの済州おすすめコースをご案内します。","大家好，我是Gyuli~告诉我人数和时间，
AI就会为您推荐最合适的济州路线。","Hãy cho Gyuli biết số người và thời gian,
AI sẽ gợi ý lộ trình Jeju phù hợp nhất cho bạn.","Beri tahu jumlah orang dan waktu kunjunganmu,
AI akan menyarankan rute Jeju yang paling pas.","บอกจำนวนคนและเวลาของคุณกับกยูรีสิคะ
แล้ว AI จะแนะนำคอร์สเที่ยวเชจูที่ใช่ให้เลยค่ะ","Привет, я Gyuli! Укажите число гостей и время —
ИИ подберёт идеальный маршрут по Чеджу.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> '제주' 뭐하지 카드","[키: AISearch] AI 검색 진입 시 재생.","","",""
"04","AISearch-2","GYULI=AISearch-2","","","관심사를 골라주세요! 맛집, 명소, 쇼핑까지
귤이가 취향에 딱 맞는 코스를 찾아드릴게요~","Pick your interests — food, sights or shopping!
I'll find a course that fits your taste~","興味を選んでください！グルメ・観光・ショッピング…
好みにぴったりのコースをお探しします〜","请选择您的兴趣！美食、景点、购物……
Gyuli为您找到最合口味的路线~","Chọn sở thích của bạn — ẩm thực, tham quan, mua sắm!
Gyuli sẽ tìm lộ trình hợp gu bạn nhất~","Pilih minatmu — kuliner, wisata, atau belanja!
Aku carikan rute yang paling cocok untukmu~","เลือกความสนใจเลยค่ะ ทั้งของกิน ที่เที่ยว ช้อปปิง
กยูรีจะหาคอร์สที่ตรงใจที่สุดให้ค่ะ~","Выберите интересы: еда, места, шопинг!
Я подберу маршрут по вашему вкусу.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","뭐하지 -> 관심사 선택","[키: AISearch_Category] 관심사 선택 화면에서 재생.","","",""
"04","AISearch-3","GYULI=AISearch-3","","","A, B, C 코스가 추천으로 나왔을 거예요
원하시는 코스를 선택하시면 장소별로 보실 수 있어요","Courses A, B and C are ready for you.
Pick one to see the places on each course.","A・B・Cコースのおすすめが表示されています。
お好きなコースを選ぶと場所ごとに見られます。","已为您推荐A、B、C路线。
选择想要的路线，即可按地点查看。","Các lộ trình A, B, C đã được gợi ý cho bạn.
Chọn một lộ trình để xem từng địa điểm nhé.","Rute A, B, dan C sudah direkomendasikan.
Pilih satu untuk melihat tempat-tempatnya.","มีคอร์ส A, B, C แนะนำให้แล้วค่ะ
เลือกคอร์สที่ต้องการเพื่อดูสถานที่ทีละแห่งได้เลย","Вам предложены маршруты A, B и C.
Выберите один, чтобы увидеть все места.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","뭐하지 -> 추천 코스 확인","[키: AISearch_Detail] 추천 결과 화면에서 재생.","","",""
"05","WITH Market","","","","","","","","","","","","","","","","","","","","","","","",""
"05","","","","","","","","","","","","","","","","","","","","","","","","",""
"05","","","","","","","","","","","","","","","","","","","","","","","","",""
"06","Event-1","GYULI=EVENT-1","","","제주에서 진행 중이거나 곧 열릴 이벤트를 확인해 보세요!
특별 할인과 특별한 경험을 놓치지 마세요!","See what's on now or coming soon in Jeju!
Don't miss special deals and experiences!","済州で開催中・開催予定のイベントをチェック！
特別割引と特別な体験をお見逃しなく！","查看济州正在举行或即将举行的活动！
特别优惠和特别体验不容错过！","Xem các sự kiện đang và sắp diễn ra ở Jeju!
Đừng bỏ lỡ ưu đãi và trải nghiệm đặc biệt nhé!","Lihat acara yang sedang atau akan digelar di Jeju!
Jangan lewatkan diskon dan pengalaman spesial!","เช็กอีเวนต์ที่กำลังจัดหรือใกล้จะจัดในเชจูค่ะ!
อย่าพลาดส่วนลดและประสบการณ์สุดพิเศษนะคะ!","Смотрите события Чеджу — сейчас и скоро!
Не упустите скидки и впечатления!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 제주도 이벤트 카드 (기본 2편 순환)","[키: Event] 이벤트 진입 기본 1편째. 의상 S-07.","","",""
"06","Event-2","GYULI=EVENT-2","","","계절마다 새로운 축제가 열리는 제주!
지금 어떤 행사가 열리는지 귤이가 알려드릴게요~","Jeju has new festivals every season!
I'll show you what's happening right now~","季節ごとに新しい祭りが開かれる済州！
今どんなイベントがあるか、ギュリがお知らせします〜","济州四季都有新的庆典！
Gyuli告诉您现在有哪些活动~","Jeju mùa nào cũng có lễ hội mới!
Gyuli sẽ cho bạn biết hiện đang có sự kiện gì~","Setiap musim ada festival baru di Jeju!
Aku beri tahu acara apa yang sedang berlangsung~","เชจูมีเทศกาลใหม่ๆ ทุกฤดูกาลค่ะ!
กยูรีจะบอกให้ว่าตอนนี้มีงานอะไรบ้าง~","На Чеджу каждый сезон новые фестивали!
Расскажу, что проходит прямо сейчас.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 제주도 이벤트 카드 (기본 2편 순환)","[키: Event] 기본 2편째.","","",""
"06","Event-3","GYULI=EVENT-3","","","제주에서 열리는 축제와 특별한 이벤트를 만나보세요!
문화 축제, 독특한 활동, 잊지 못할 경험에 함께하세요!","Discover Jeju's festivals and special events!
Join cultural fests, unique activities and more!","済州の祭りと特別なイベントに出会えます！
文化祭・ユニークな体験・忘れられない思い出を！","邂逅济州的庆典和特别活动！
文化庆典、独特体验、难忘经历等您参与！","Khám phá lễ hội và sự kiện đặc biệt ở Jeju!
Hòa mình vào lễ hội văn hóa và trải nghiệm khó quên!","Temukan festival dan acara spesial di Jeju!
Ikuti festival budaya dan pengalaman tak terlupakan!","พบกับเทศกาลและอีเวนต์พิเศษของเชจูค่ะ!
ร่วมงานวัฒนธรรมและประสบการณ์ที่น่าจดจำกันนะคะ!","Откройте фестивали и события Чеджу!
Культура, развлечения, впечатления!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","이벤트 -> 카테고리 선택","[키: ToEvent_Category] 카테고리 선택 시 재생.","","",""
"07","To eat Market","GYULI=ToBuy-1=To eat Market-1","","","제주엔 유명한 맛집과 카페가 정말 많이 있어요.
방문하고 싶은 카테고리를 선택해주세요.","Jeju is full of famous eateries and cafés.
Pick a category you'd like to visit.","済州には有名なグルメ店やカフェがいっぱい。
行きたいカテゴリーを選んでください。","济州有很多有名的美食店和咖啡馆。
请选择想去的类别。","Jeju có rất nhiều quán ăn và quán cà phê nổi tiếng.
Hãy chọn danh mục bạn muốn ghé nhé.","Jeju punya banyak restoran dan kafe terkenal.
Pilih kategori yang ingin kamu kunjungi.","เชจูมีร้านอร่อยและคาเฟ่ดังๆ เยอะมากค่ะ
เลือกหมวดหมู่ที่อยากไปได้เลยนะคะ","На Чеджу много известных кафе и ресторанов.
Выберите интересную категорию.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> '제주' 뭐먹지","[키: ToEat] 진입 시 재생. 의상 S-24.","","",""
"07","To eat Market_Category","GYULI=ToBuy-2=To eat Market-2","","","흑돼지, 해산물, 감성 카페까지 다양해요~
매장을 클릭하면 더 자세한 정보를 확인할 수 있어요.","Black pork, seafood, cozy cafés and more~
Tap a place for more details.","黒豚、海鮮、おしゃれカフェまで色々〜
お店をタップすると詳しい情報が見られます。","黑猪肉、海鲜、格调咖啡馆，应有尽有~
点击店铺即可查看详细信息。","Thịt heo đen, hải sản, cà phê xinh — đủ cả~
Chạm vào cửa hàng để xem thông tin chi tiết nhé.","Ada babi hitam, seafood, sampai kafe estetik~
Ketuk tokonya untuk info lebih lengkap.","มีทั้งหมูดำ อาหารทะเล และคาเฟ่ชิคๆ ค่ะ~
แตะที่ร้านเพื่อดูรายละเอียดเพิ่มเติมนะคะ","Чёрная свинина, морепродукты, кафе~
Нажмите на заведение — узнаете больше.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","뭐먹지 -> 카테고리 선택","[키: ToEat_Category] 카테고리 화면에서 재생.","","",""
"07","To eat Market_Detail","GYULI=ToBuy-3=To eat Market-3","","","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the [QR] code with your phone to get directions.","スマホで[QR]コードを読み取ると道案内が受けられます。","用手机扫描[QR]码即可获得路线指引。","Quét mã [QR] bằng điện thoại để được chỉ đường.","Pindai kode [QR] dengan ponsel untuk panduan arah.","สแกนโค้ด [QR] ด้วยมือถือเพื่อรับการนำทางค่ะ","Отсканируйте [QR]-код телефоном — получите маршрут.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","뭐먹지 -> 매장 상세","[키: ToEat_Detail] 상세 화면. QR 상용구.","","",""
"08","ToBuy","GYULI=ToBuy-1","","","즐거운 추억이 될 쇼핑 아이템들을 찾으시나요?
제주에는 특산품과 기념품 상점이 가득해요","Looking for shopping to remember your trip by?
Jeju is full of local goods and souvenir shops!","楽しい思い出になるショッピングをお探しですか？
済州には特産品やお土産店がいっぱいです。","在找能留下美好回忆的购物好物吗？
济州到处都是特产和纪念品商店。","Bạn đang tìm món đồ lưu giữ kỷ niệm vui?
Jeju có rất nhiều đặc sản và cửa hàng lưu niệm!","Mencari belanjaan untuk kenangan manis?
Jeju penuh toko oleh-oleh dan produk khas!","กำลังหาของช้อปเก็บเป็นความทรงจำดีๆ อยู่ไหมคะ?
เชจูเต็มไปด้วยร้านของฝากและสินค้าท้องถิ่นค่ะ","Ищете покупки на память о поездке?
На Чеджу полно сувениров и товаров!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> '제주' 뭐사지","[키: ToBuy] 진입 시 재생. 의상 H-08.","","",""
"08","ToBuy_Category","GYULI=ToBuy-2","","","쇼핑 고민 끝! 추천 카테고리를 참고해 보세요.
매장을 클릭하면 자세한 정보를 볼 수 있어요.","No more shopping worries — try my categories!
Tap a shop to see the details.","ショッピングの悩み解決！おすすめカテゴリーをどうぞ。
お店をタップすると詳細が見られます。","购物不再纠结！参考推荐类别吧。
点击店铺即可查看详细信息。","Hết lo mua gì! Tham khảo danh mục gợi ý nhé.
Chạm vào cửa hàng để xem chi tiết.","Bingung belanja? Lihat kategori rekomendasiku!
Ketuk toko untuk melihat detailnya.","หมดกังวลเรื่องช้อปปิง! ดูหมวดหมู่แนะนำได้เลยค่ะ
แตะที่ร้านเพื่อดูข้อมูลเพิ่มเติมนะคะ","Хватит гадать — вот мои категории!
Нажмите на магазин, чтобы узнать больше.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","뭐사지 -> 카테고리 선택","[키: ToBuy_Category] 카테고리 화면에서 재생.","","",""
"08","ToBuy_Detail","GYULI=ToBuy-3","","","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the [QR] code with your phone to get directions.","スマホで[QR]コードを読み取ると道案内が受けられます。","用手机扫描[QR]码即可获得路线指引。","Quét mã [QR] bằng điện thoại để được chỉ đường.","Pindai kode [QR] dengan ponsel untuk panduan arah.","สแกนโค้ด [QR] ด้วยมือถือเพื่อรับการนำทางค่ะ","Отсканируйте [QR]-код телефоном — получите маршрут.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","뭐사지 -> 매장 상세","[키: ToBuy_Detail] 상세 화면. QR 상용구.","","",""
"09","ToStay-1","GYULI=ToStay-1","","","편안한 숙소를 찾고 계신가요?
제주의 호텔, 리조트, 게스트하우스를 확인해보세요!","Looking for a comfy place to stay?
Browse Jeju's hotels, resorts and guesthouses!","快適な宿をお探しですか？
済州のホテル・リゾート・ゲストハウスをチェック！","在找舒适的住处吗？
看看济州的酒店、度假村和民宿吧！","Bạn đang tìm chỗ nghỉ thoải mái?
Xem ngay khách sạn, resort, nhà khách ở Jeju!","Mencari penginapan yang nyaman?
Cek hotel, resor, dan guesthouse di Jeju!","กำลังมองหาที่พักสบายๆ อยู่ไหมคะ?
เช็กโรงแรม รีสอร์ต และเกสต์เฮาส์ของเชจูได้เลย!","Ищете, где удобно остановиться?
Отели, курорты и гестхаусы Чеджу — здесь!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 숙박안내","[키: ToStay] 진입 시 재생.","","",""
"09","ToStay-2","GYULI=ToStay-2","","","어디서 머물지 고민되시나요? 귤이가 추천해드릴게요!
숙소를 눌러 자세한 정보를 확인하세요.","Not sure where to stay? Let me recommend!
Tap a place to see the details.","どこに泊まるか迷ったら、ギュリにお任せ！
宿をタップして詳細をご確認ください。","不知道住哪里？Gyuli来推荐！
点击住处即可查看详细信息。","Chưa biết ở đâu? Để Gyuli gợi ý cho bạn!
Chạm vào chỗ nghỉ để xem thông tin chi tiết.","Bingung mau menginap di mana? Aku rekomendasikan!
Ketuk penginapan untuk info lengkapnya.","ยังไม่รู้จะพักที่ไหนใช่ไหมคะ? กยูรีแนะนำให้ค่ะ!
แตะที่พักเพื่อดูรายละเอียดนะคะ","Не знаете, где остановиться? Подскажу!
Нажмите на жильё — там все детали.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","숙박안내 -> 숙소 목록","[키: ToStay_Category] 목록 화면에서 재생.","","",""
"09","ToStay-3","GYULI=ToStay-3","","","숙소로 가는 길이 궁금하신가요?
지도를 확인하고 길 안내를 받아보세요!","Wondering how to get to your accommodation? Let Gyuli guide you!
Check the map for directions.","宿までの道順が気になりますか？ギュリがご案内します！
地図を確認して道案内を受けてください。","想知道怎么去住宿地吗？Gyuli为您带路！
请查看地图获取路线指引。","Bạn muốn biết đường đến chỗ ở? Để Gyuli hướng dẫn nhé!
Hãy kiểm tra bản đồ và nhận chỉ đường.","Ingin tahu jalan ke penginapan? Biar Gyuli yang pandu!
Cek peta dan dapatkan petunjuk arah.","สงสัยวิธีไปที่พักใช่ไหมคะ? ให้กยูรีนำทางนะคะ!
เช็กแผนที่และรับเส้นทางได้เลยค่ะ","Интересует, как добраться до жилья? Gyuli подскажет!
Проверьте карту и получите маршрут.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","숙박안내 -> 숙소 상세","[키: ToStay_Detail] 상세 화면. QR 상용구.","","",""
"10","TaxFree-1","GYULI=TaxFree-1","","","택스 리펀드 서비스에 오신 것을 환영합니다. 
진행을 위해 택스 리펀드 영수증을 꼭 지참해 주세요.","Welcome to the tax refund service.
Please have your tax refund receipt ready.","タックスリファンドサービスへようこそ。
お手続きには免税レシートをご用意ください。","欢迎使用退税服务。
办理时请务必备好退税收据。","Chào mừng đến với dịch vụ hoàn thuế.
Vui lòng chuẩn bị hóa đơn hoàn thuế để tiến hành.","Selamat datang di layanan pengembalian pajak.
Siapkan struk tax refund untuk melanjutkan, ya.","ยินดีต้อนรับสู่บริการคืนภาษีค่ะ
กรุณาเตรียมใบเสร็จคืนภาษีเพื่อดำเนินการนะคะ","Добро пожаловать в сервис такс-фри.
Приготовьте чек для возврата налога.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> TAX-FREE","[키: TaxFree] 진입 시 재생.","","",""
