"넘버링운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기 ","","","언어","","","","우측상단 서브타이틀","","","","재생조건","설명","넘버링"
"48","Greeting_Stretching","Hue-A)M68-1=V1=P-02=01=fin=down_live","모두 너무 열심히 잘 따라서 해주셨어요~최고에요 
이제 다시 화성의 다양한 장소를 방문해보세요^^","Great job following along—awesome! Now, let’s get back to exploring Hwaseong Service's gems! ^^","よくできましたね—素晴らしい！それでは、また華城(ファソン)サービスエリアの魅力を探しに行きましょう！^^","做得真棒！
现在我们回到华城休息站继续发现惊喜吧！^^","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 안녕정이 -> 스트레칭 고고~ - 2","","아이콘12=HUE-3-2"
"49","Greeting_Stretching","Hue-A)M69-1=V1=P-02=01=fin=down_live","자 우선 손목과 팔목을 풀어볼까요~
다음은 어깨를 시계방향으로 돌려주세요 ","First, loosen your wrists and arms. Next, 
rotate your shoulders clockwise, like this!","まずは手首と腕をゆるめてください。
次に、肩を時計回りに回します。このように！","先活動手腕和手臂～
接著像這樣順時針轉轉你的肩膀！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 안녕정이 -> 스트레칭 고고~ - 3","","아이콘12=HUE-3-3"
"50","Greeting_Stretching","Hue-A)M70-1=V1=P-02=01=fin=down_live","다음은 좀더 크게 어깨운동을 해볼거에요 
그리고 팔꿈치가 무릅에 닿을수 있게 양쪽으로 해보세요 ","Now, let’s stretch those shoulders bigger. 
Try to touch your elbows to your knees on both sides!","では、肩を大きくストレッチしましょう。
両側の肘を膝にタッチするようにしてみてください！","現在來個大動作～試試讓手肘碰到膝蓋，
左右兩邊都來一次！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 안녕정이 -> 스트레칭 고고~ - 4","","아이콘12=HUE-3-4"
"51","ToHelp","Hue-A)M43-1=V1=W-01=01=Fin=down_live","도움이 필요하시거나 필수 서비스를 찾고 계신가요? 
화장실, 흡연실, 주유소를 알려드릴게요 ","Need help finding essential services?
restrooms, smoking areas, and gas.","お困りのことや、施設をお探しですか？
トイレ、喫煙所、給油所をご案内します。","您需要帮助或寻找便利设施吗？
为您指引卫生间、吸烟区和加油站。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 도와줘정이-> 카테고리선택 ","","아이콘13=HELP-1"
"52","ToHelp_Category","Hue-A)M44-1=V1=W-01=01=Fin=down_live","필요한신 내용을 클릭하시면 상세한 정보를 얻으실 수 있어요. 
상세정보를 통해 다양한 도움을 받아가세요~","Click on what you need for details.
Get helpful information and assistance here.","必要な項目をタッチして詳細をご覧ください。
詳しい情報でお手伝いします。","点击所需项目即可查看详细信息。
请在此获取更多帮助与资讯。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 도와줘정이-> 카테고리선택  1","","아이콘13=HELP-2"
"53","ToHelp_Detail","Hue-A)M45-1=V1=W-01=01=Fin=down_live","핸드폰으로 [QR] 코드를 통해 길 안내를 받을 수 있고 
한복 착장의 결과물을 핸드폰에 저장할 수 있어요 ","Scan the [QR] code to get directions.
Save your Hanbok photo to your phone.","[QR]コードで道案内を受け取れます。
韓服の試着画像をスマホに保存できます。","扫描[QR]二维码即可获取路线导航。
您可将韩服试穿照片保存至手机。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 도와줘정이-> 카테고리선택 -> 상세검색","","아이콘13=HELP-3"
"54","SAMap","Hue-A)M55-1=V1=W-01=01=fin=down_live","화성휴게소의 전체 지도를 확인해 보세요.
원하시는 시설을 찾는 데 도움이 될 거예요.","Here is the map of Hwaseong Service Area.
Use this guide to find exactly what you need.","華城(ファソン)サービスエリアの全体図です。
施設探しや休憩にお役立てください。","为您介绍华城休息站的全景导览图。
希望能帮助您轻松找到所需设施。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 오색시장지도 ","","아이콘14=map"
"55","Exchange","Hue-A)M49-1=V1=W-02=01=fin=down_live","오늘자 환율 정보입니다. 주변은행에서 환전이 가능해요. 
검색기능을 통해 주변 은행을 검색해 보세요 ","Here is today's exchange rate information.
Search for nearby banks to exchange currency.","本日の為替レートと両替のご案内です。
検索機能で近くの銀行をお探しください。","在此提供今日汇率与换汇资讯。
请使用搜索功能查找附近的银行。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 환율","","아이콘15=환율"
"56","TrafficInfo","Hue-A)M53-1=V1=H-11=01=Fin=down_live","전국 도로교통 상황을 실시간으로 확인해 보세요.
안전하고 빠른 길을 미리 찾아보세요.","Check real-time traffic nationwide.
Find the best route for your trip.","全国の道路状況をリアルタイムで確認しましょう。
快適な移動のために、事前にチェックしてください。","请实时查询全国道路交通状况。
提前规划路线，助您顺畅出行。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> AI검색 버튼(뭐하지) ","","아이콘16=교통상황-1"
"57","TrafficInfo","Hue-A)M54-1=V1=H-11=01=Fin=down_live","목적지까지의 교통 상황을 미리 확인하세요.
사고나 정체 구간이 없는지 살펴볼 수 있습니다.","Check current traffic on your route.
Look out for accidents or delays.","目的地までの交通状況を確認しましょう。
事故や渋滞がないか事前に分かります。","请提前查看前往目的地的路况。
确认是否有事故或拥堵路段。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘16=교통상황-2"
"58","KCultureHotPlace","Hue-A)M50-1=V1=W-13=01=Fin=down_live","요즘 한국에서 가장 핫한 K-컬처 명소를 소개합니다.
지금 바로 트렌디한 장소를 찾아보세요.","Discover the hottest K-Culture spots in Korea.
Find the trendiest places to visit right now.","今、韓国で話題のK-カルチャースポットです。
トレンドのホットプレイスを探してみましょう。","为您介绍韩国时下最火的K-文化热点。
快来寻找这些充满潮流气息的名胜吧。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘17=K컬처-1"
"59","KCulture_Category","Hue-A)M51-1=V1=W-13=01=Fin=down_live","내국인과 외국인 모두에게 사랑받는 명소입니다.
K-컬처 핫플레이스의 상세 정보를 확인해 보세요.","Loved by locals and tourists alike.
Check out details on K-Culture spots.","国内外の観光客に人気のスポットです。
流行りのK-カルチャー詳細をご覧ください。","深受国内外游客喜爱的K-文化热点。
请在此查看详细的景点介绍。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘17=K컬처-2"
"60","KCulture_Detail","Hue-A)M52-1=V1=W-13=01=Fin=down_live","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your phone to 
receive detailed directions","スマートフォンで［QR］コードを読み取れば、
道案内も受けられますよ","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘17=K컬처-3"
"61","MarketPaper","HUE-A)M71-1=V1=H-07=01=fin=down_live","화성시 지역화폐로 다양한 혜택을 누려보세요.
앱에서 충전 후 가맹점에서 바로 사용 가능합니다.","Enjoy benefits with Hwaseong's local currency.
Top up in the app and pay at local stores.","華城(ファソン)市の地域通貨でお得に買い物を。
アプリでチャージして加盟店でご利用ください。","请体验华城市地区货币的各种优惠。
APP充值后即可在加盟店便捷使用。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 시장화폐","","아이콘18=지역화폐-1"
"62","MarketPaper","HUE-A)M72-1=V1=H-07=01=fin=down_live","전통시장 전용 온누리상품권으로 혜택을 받아보세요.
가맹점에서 현금처럼 쓰거나 앱으로 결제할 수 있습니다.","Enjoy discounts at markets with Onnuri Vouchers.
Use paper vouchers like cash or pay via the app.","伝統市場専用の「オンヌリ商品券」がお得です。
現金同様に使うか、アプリで決済してください。","请使用传统市场专用的“温汝利商品券”。
可直接抵扣现金或通过APP便捷支付。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘18=지역화폐-2"
"63","","","","","","","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘18=지역화폐-3"
"64","SmartTravel_map","Hue-A)M74-1=V1=H-10=01=Fin=down_live","한국에는 아름다운 명소가 정말 많습니다.
전국 지도에서 원하는 여행지를 찾아보세요.","Korea is full of amazing places to visit.
Find your perfect spot on the map.","韓国には魅力的な名所がたくさんあります。
全国地図でお好みの場所を探してみましょう。","韩国有许多值得一游的名胜古迹。
请在全国地图上查找心仪的景点。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘19=스마트관광-1"
"65","SmartTravel_submap","Hue-A)M75-1=V1=H-10=01=Fin=down_live","원하는 지역의 도시를 선택해 주세요.
추천 명소의 자세한 정보를 확인해 보세요.","Select a city to explore its attractions.
Tap on a spot for more details.","お好みの都市を選んでください。
おすすめスポットの詳細をご覧になれます。","请选择您感兴趣的城市。
点击查看推荐景点的详细信息。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘19=스마트관광-2"
"66","SmartTravel_Category","Hue-A)M76-1=V1=H-10=01=Fin=down_live","한국의 다양한 여행 테마를 확인해 보세요.
카테고리를 선택하면 명소를 찾을 수 있습니다.","Explore Korea by selecting a travel theme.
Tap a category to find the best spots.","多彩な旅行テーマをご用意しました。
カテゴリーを選んで名所を探しましょう。","韩国拥有丰富多彩的旅游主题。
请点击分类查看相关推荐景点。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘19=스마트관광-3"
"67","SmartTravel_Detail","Hue-A)M77-1=V1=H-10=01=Fin=down_live","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your phone to 
receive detailed directions","スマートフォンで［QR］コードを読み取れば、
道案内も受けられますよ","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘19=스마트관광-4"
"68","Photo","Hue-A)M56-1=V1=H-03=01=fin=down_live","먼저 착용해보고 싶은 스타일을 선택하세요.  
의상을 고른 후, 사진 촬영 버튼을 눌러주세요","Start by selecting the look you want to try on. Choose your outfit, then press the photo capture button","まず試着してみたいスタイルを選んでください。
衣装を選んだら、「写真撮影」ボタンを押してください
","先選擇想體驗的造型～
挑好服裝後按下拍照鍵！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 촬영버튼","","아이콘20=AR착장-1"
"69","Photo_SelectHanbok","Hue-A)M57-1=V1=H-08=01=Fin=down_live","카메라를 바라보고 얼굴과 손이 화면의 가이드 원 안에 
들어가도록 맞춰주세요.  모자와 안경을 벗어주세요
","Look at the camera. Keep your face and hands in the guide circles. Remove your hat and glasses.","カメラを見つめて、顔と手が画面のガイド丸の中に入るように合わせてください。帽子やメガネは外してくださいね。","請看鏡頭，將臉和雙手對準螢幕上的指引圈～
請取下帽子和眼鏡喔！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 촬영버튼 -> 의상선택 ","","아이콘20=AR착장-2"
"70","Photo_Creating","Hue-A)M57-2=V1=H-08=01=Fin=down_live","키오스크 앞에서 잠시만 기다려주세요 
선택하신 옷으로 갈아입고 있어요. 멋찐 모습을 기대하세요~","Please wait a moment. You are changing into the outfit you selected. Look forward to your stylish new look~~~","少々お待ちください。お選びいただいた服に着替えています。
かっこいい姿をお楽しみに~~~","请稍等一下。正在为您更换所选的服装。
敬请期待您的帅气新造型~~~","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 촬영버튼-> 60초대기","","아이콘20=AR착장-3_1"
"71","Photo_Creating","Hue-A)M57-2=V1=H-08=01=Fin=down_live","키오스크 앞에서 잠시만 기다려주세요 
선택하신 옷으로 갈아입고 있어요. 멋찐 모습을 기대하세요~","Please wait a moment. You are changing into the outfit you selected. Look forward to your stylish new look~~~","少々お待ちください。お選びいただいた服に着替えています。
かっこいい姿をお楽しみに~~~","请稍等一下。正在为您更换所选的服装。
敬请期待您的帅气新造型~~~","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 촬영버튼-> 60초대기","","아이콘20=AR착장-3_2"
"72","Photo_Creating","Hue-A)M57-2=V1=H-08=01=Fin=down_live","키오스크 앞에서 잠시만 기다려주세요 
선택하신 옷으로 갈아입고 있어요. 멋찐 모습을 기대하세요~","Please wait a moment. You are changing into the outfit you selected. Look forward to your stylish new look~~~","少々お待ちください。お選びいただいた服に着替えています。
かっこいい姿をお楽しみに~~~","请稍等一下。正在为您更换所选的服装。
敬请期待您的帅气新造型~~~","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 촬영버튼-> 60초대기","","아이콘20=AR착장-3_3"
"73","Photo_Complete","Hue-A)M58-1=V1=H-07=01=Fin=down_live"," 핸드폰의 카메라를 켜고 QR 코드를 스캔하시면 
사진을 핸드폰에 바로 저장하실 수 있습니다.","Scan the QR code with your camera.
Save the photo directly to your phone.","スマホのカメラでQRコードを読み取ってください。
写真をその場ですぐに保存できます。","请打开手机相机扫描二维码。
可将照片直接保存至您的手机。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 촬영버튼-> 60초대기 ->결과물저장","","아이콘20=AR착장-4"
"74","HanbokExplain","Hue-A)M02-2=V1=H-06=02=fin=down_live","한복은 한국의 역사와 문화가 담긴 전통 의복입니다. 
고유의 아름다움을 직접 AR로 한복을 착장해보세요!","Hanbok embodies Korea's history and culture.
Try it on with AR to see its beauty!","韓服(ハンボク)は韓国の歴史と文化が宿る伝統衣装です。
その美しさをAR試着で体験してみてください！","韩服是蕴含韩国历史文化的传统服饰。
请通过AR试穿，体验其独特之美！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 한복설명","","아이콘20=AR착장-5"
"75","Toilet","Hue-A)M63-1=V1=W-12=01=Fin=down_live","지정된 화장실과 흡연 구역을 안내합니다.
지도를 통해 정확한 위치를 확인해 주세요.","Here are the restrooms and smoking areas.
Check the map for their exact locations.","指定されたお手洗いと喫煙所をご案内します。
地図で詳しい場所をご確認ください。","在此为您指引洗手间与吸烟区。
请查看地图确认具体位置。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 화장실/흡연구역 ","","아이콘21=화장실"
"76","Weather_Sunny","Hue-A)M64-1=V1=W-06=01=Fin=down_live","날씨가 정말 화창하고 좋습니다.
다 함께 즐거운 여행을 떠나볼까요?","The weather is amazing today.
Let's go on a trip together!","最高のお天気ですね。
みんなで旅行に出かけましょう！","今天天气真好。
让我们一起去旅行吧！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","0=Weather-1"
"77","Weather_Rain","Hue-A)M65-1=V1=W-05=01=Fin=down_live","비가 내리니 우산을 꼭 챙기세요.
빗길에는 항상 안전운전 하세요.","It is raining, so bring an umbrella.
Please drive safely on wet roads.","雨が降っていますので、傘をお持ちください。
雨道の運転には、くれぐれもご注意ください。","外面正在下雨，请务必携带雨伞。
雨天路滑，请您注意安全驾驶。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","0=Weather-2"
"78","Weather_Cold","Hue-A)M66-1=V1=W-04=01=Fin=down_live","날씨가 많이 추우니 따뜻하게 입으세요.
빙판길 운전에 각별히 유의하시기 바랍니다.","It is very cold, so please dress warmly.
Drive safely and watch out for icy roads.","とても寒いので、暖かくしてお出かけください。
路面凍結や運転には十分ご注意ください。","天气寒冷，请务必注意添衣保暖。
路面湿滑，请您注意安全驾驶。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","0=Weather-3"
"79","AISearch_Category","","A, B, C코스가 추천으로 나왔을거에요 
원하시는 코스를 선택하시면 매장별로 보실 수 있어요 ","How many people are in your group, how much time will 
you be spending? What would you like to do here?
","おすすめコースとしてA、B、Cコースが出ているはずです。
希望のコースを選ぶと、各店舗を確認できます。","推荐的A、B、C路线已经显示出来了。
选择您想要的路线，就可以查看各个商店。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> AI검색 버튼(뭐하지)  -> 카테고리 선택 -= 결과에서 A,B,C 선택 ","",""
"80","AISearch_Detail","","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your mobile. 
Navigation will guide you to the spot.","スマートフォンで  [QR] コードをスキャン。 
ナビが目的地までご案内します。","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> AI검색 버튼(뭐하지) -> 카테고리 선택 -= 결과에서 A,B,C 선택 -> 상세검색 ","",""
